rowname,Lambia antarctica,Adenocystis utricularis,Ascoseira mirabilis,Cystosphaera jacquinotii,Desmarestia anceps,Desmarestia antarctica,Desmarestia menziesii,Himantothallus grandifolius,Microzonia australe,Austropugetia crassa,Ballia callitricha,Callophyllis atrosanguinea,Curdiea racovitzae,Delisea pulchra,Georgiella confluens,Gymnogongrus antarcticus,Hymenocladiopsis sp.,Iridaea cordata,Meridionella antarctica,Myriogramme manginii,Myriogramme smithii,Pachymenia orbicularis,Palmaria decipiens,Pantoneura plocamioides,Paraglossum salicifolium,Phyllophora antarctica,Picconiella plumosa,Plocamium sp.,Porphyra plocamiestris,Sarcopeltis antarctica,Trematocarpus antarcticus,Benthic diatoms
20:2w6_sd,0.025,-,0.007,0.049,0.075,0.018,0.045,0.016,0.157,0.000,-,0.016,0.102,-,0.011,0.034,0.021,0.226,0.033,0.033,0.071,0.000,0.000,-,-,0.019,0.057,0.019,0.496,0.000,0.009,-
20:3w6_sd,0.029,-,0.155,0.086,0.099,0.372,0.210,0.216,0.061,0.038,-,0.001,0.191,-,0.020,0.145,0.097,0.814,0.184,0.031,0.038,0.020,0.053,-,-,0.032,0.102,0.812,0.266,0.000,0.048,-
20:4w6_sd, 0.532,-, 0.227, 2.448, 0.544, 5.341, 2.897, 3.981, 1.195, 0.611,-, 2.596, 4.819,-, 0.970, 0.261, 1.837, 6.123, 0.054, 0.904, 1.428, 1.267, 0.250,-,-,19.171, 0.278, 0.838, 1.108, 9.382, 5.359,-
20:3w3_sd,0.044,-,0.101,0.057,0.000,0.026,0.088,0.108,0.000,0.000,-,0.000,0.000,-,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-,-,0.000,0.000,0.000,0.194,0.000,0.000,-
20:5w3_sd, 7.562,-, 1.084, 1.789, 3.360, 1.666, 3.033, 1.002, 1.115, 1.111,-, 1.989, 3.237,-, 3.030, 0.875, 2.598, 4.696, 1.616, 9.054,10.818, 1.219, 7.779,-,-,12.748, 0.251, 5.381, 4.397,10.510, 4.987,-
22:0_sd,0.000,-,0.122,0.203,0.015,0.005,0.015,0.017,0.000,0.036,-,0.007,0.062,-,0.000,0.000,0.004,0.027,0.000,0.042,0.024,0.013,0.046,-,-,0.004,0.015,0.297,0.000,0.000,0.000,-
22:1w9c_sd,0.000,-,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-,0.049,0.000,-,0.000,0.000,0.000,0.087,0.000,0.000,0.000,0.000,0.000,-,-,0.022,0.000,0.034,0.000,0.000,0.000,-
22:2w6_sd,0.000,-,0.003,0.000,0.000,0.000,0.038,0.000,0.000,0.000,-,0.000,0.000,-,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.721,-,-,0.000,0.000,0.000,0.015,0.000,0.000,-
23:0_sd,0.000,-,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-,0.000,0.000,-,0.000,0.000,0.000,0.014,0.000,0.000,0.000,0.000,0.000,-,-,0.000,0.000,0.000,0.000,0.000,0.000,-
22:4w6_sd,0.066,-,0.000,0.000,1.812,0.000,0.000,2.396,0.000,0.027,-,0.000,0.000,-,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-,-,0.024,0.000,0.002,0.000,0.000,0.000,-
22:5w6_sd,0.043,-,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,-,0.018,0.000,-,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-,-,0.000,0.000,0.004,0.000,0.000,0.000,-
22:3w6_sd,0.018,-,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-,0.000,0.000,-,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,-,-,0.000,0.000,0.001,0.000,0.000,0.000,-
22:5w3_sd,0.068,-,0.007,0.079,3.555,0.003,0.031,1.303,0.027,0.000,-,0.031,0.048,-,0.145,0.000,0.019,0.064,0.028,0.024,0.054,0.000,0.071,-,-,0.224,0.132,0.045,0.061,0.000,0.004,-
22:6w3_sd,0.175,-,0.000,0.000,0.043,0.000,0.064,0.000,0.677,0.000,-,0.113,0.000,-,0.090,0.049,0.076,0.130,0.063,0.193,0.118,0.000,0.100,-,-,0.362,0.041,0.266,0.000,0.000,0.033,-
24:0_sd,0.107,-,0.000,0.039,0.000,0.006,0.019,0.028,0.000,0.000,-,0.007,0.000,-,0.000,0.000,0.000,0.057,0.000,0.082,0.026,0.000,0.059,-,-,0.017,0.000,0.007,0.000,0.000,0.004,-
24:1w9_sd,0.000,-,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-,0.103,0.000,-,0.000,0.000,0.000,0.206,0.000,0.995,0.000,0.000,0.000,-,-,0.193,0.000,0.000,0.000,0.000,0.067,-
CN ratio_sd,6.1073826,-,-,1.4071651,0.3318444,0.9640336,1.8482741,1.5047466,-,-,-,0.5132167,-,-,0.7912072,-,0.6341133,1.1137218,8.2161292,0.6745604,1.0145957,1.0960825,2.2150562,0.8511873,-,0.4914332,0.5773581,1.2110555,0.2961465,1.1670732,1.0114793,0.9112055
d15N_sd,0.4819723,-,-,0.6098827,2.9381649,0.5473369,1.5999692,0.5001640,-,-,-,0.4086209,-,-,0.4673976,-,1.2576870,1.0146330,1.0171750,0.4837832,0.8326742,1.3688433,0.3376344,1.3253237,-,0.6763340,1.4368410,0.6735164,0.3712174,0.5080589,0.6482034,1.5412947
d13C_sd,1.3660089,-,-,1.0547503,1.9041313,1.2692276,1.9592211,0.1021323,-,-,-,2.8456123,-,-,0.6731657,-,0.9545438,4.4872657,4.0589076,0.7877813,0.3177363,1.1575691,0.5152333,5.3795040,-,2.0285179,0.9977277,1.1155555,0.8347487,1.7893684,3.0104658,1.0620902
