Sample,Name,Conc,Ret.time,Ret.index,Type,m/z,Area,Height,Unit,Group,Date.anal,Notes
HIGR_10F0836_0130_5252020_22,c23.0,No peak is detected.,0,0,Target,74,0,0,ng/ul,bsides,2021-04-28,
HIGR_10F0836_0130_5252020_22,c22.PUFA,No peak is identified.,0,0,Target,79,0,0,ng/ul,bsides,2021-04-28,
HIGR_10F0836_0130_5252020_22,c22.3n6,No peak is identified.,0,0,Target,79,0,0,ng/ul,bsides,2021-04-28,
HIGR_10F0836_0130_5252020_22,c22.4n6,No peak is identified.,0,0,Target,79,0,0,ng/ul,bsides,2021-04-28,
HIGR_10F0836_0130_5252020_22,c22.5n6,No peak is identified.,0,0,Target,79,0,0,ng/ul,bsides,2021-04-28,
HIGR_10F0836_0130_5252020_22,c22.5n3,6.3862,45.514,0,Target,79,919811,155482,ng/ul,bsides,2021-04-28,
HIGR_10F0836_0130_5252020_22,c22.6n3,Ratio of reference ion does not match.,0,0,Target,79,0,0,ng/ul,bsides,2021-04-28,
HIGR_10F0836_0130_5252020_22,c24.0,0.0584,46.348,0,Target,74,16228,2469,ng/ul,bsides,2021-04-28,
HIGR_10F0836_0130_5252020_22,c24.1n9,Ratio of reference ion does not match.,0,0,Target,55,0,0,ng/ul,bsides,2021-04-28,
HIGR_10F0836_0130_5252020_22,c8:0,No peak is identified.,0,0,Target,74,0,0,ng/ul,bsides,2021-04-28,
HIGR_10F0836_0130_5252020_22,c9:0,No peak is identified.,0,0,Target,74,0,0,ng/ul,bsides,2021-04-28,
HIGR_10F0836_0130_5252020_22,c10:0,No peak is identified.,0,0,Target,74,0,0,ng/ul,bsides,2021-04-28,
HIGR_10F0836_0130_5252020_22,c11:0,No peak is identified.,0,0,Target,74,0,0,ng/ul,bsides,2021-04-28,
HIGR_10F0836_0130_5252020_22,c11:1,No peak is identified.,0,0,Target,55,0,0,ng/ul,bsides,2021-04-28,
HIGR_10F0836_0130_5252020_22,c12:0,0.0222,10.589,0,Target,74,9022,5883,ng/ul,bsides,2021-04-28,
HIGR_10F0836_0130_5252020_22,c13.0,Ratio of reference ion does not match.,0,0,Target,74,0,0,ng/ul,bsides,2021-04-28,
HIGR_10F0836_0130_5252020_22,c16:1n1,2.0905,18.481,0,Target,55,286092,81689,ng/ul,bsides,2021-04-28,"Manual entry, uncertain ID"
HIGR_10F0836_0130_5252020_22,c18:4n1,9.8771,28.764,0,Target,79,1838631,338872,ng/ul,bsides,2021-04-28,"Manual entry, uncertain ID"
MYMA_09F0778_0166_5252020_7,c13.1,Ratio of reference ion does not match.,0,0,Target,55,0,0,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c14.0,0.9704,13.294,0,Target,74,412161,180966,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c14.1,Ratio of reference ion does not match.,0,0,Target,55,0,0,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,i15.0,Ratio of reference ion does not match.,0,0,Target,74,0,0,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c15.0,0.1151,15.161,0,Target,74,47658,16807,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,i16.0,No peak is identified.,0,0,Target,74,0,0,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c16.0,13.5682,17.52,0,Target,74,5401265,1442630,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c16.1n13,No peak is identified.,0,0,Target,55,0,0,ng/ul,bsides,2021-04-28,
