sample,batch,FA,proportion,targetFA,type
DEME_03F0154_0033,batch_1,22:4w6,0,standardsplus,core
DEME_03F0154_0033,batch_1,22:5w6,0,standardsplus,core
DEME_03F0154_0033,batch_1,22:3w6,3.38935E-06,standardsplus,core
DEME_03F0154_0033,batch_1,22:5w3,0.000329614,standardsplus,core
DEME_03F0154_0033,batch_1,22:6w3,0.000437226,standardsplus,core
DEME_03F0154_0033,batch_1,24:0,0.000381301,standardsplus,core
DEME_03F0154_0033,batch_1,24:1,0,standardsplus,core
DEME_03F0154_0033,batch_1,24:1w9,0,standardsplus,core
DEME_03F0154_0033,batch_1,26:0,0,standardsplus,core
DEME_03F0154_0033,batch_1,28:0,0,standardsplus,core
IRCO_10F0875_0071,batch_1,8:0,0.00019893,standardsplus,core
IRCO_10F0875_0071,batch_1,9:0,0.000430626,standardsplus,core
IRCO_10F0875_0071,batch_1,10:0,0.00025978,standardsplus,core
IRCO_10F0875_0071,batch_1,11:0,0.00012872,standardsplus,core
IRCO_10F0875_0071,batch_1,11:1,7.02107E-05,standardsplus,core
IRCO_10F0875_0071,batch_1,12:0,0.017168869,standardsplus,core
IRCO_10F0875_0071,batch_1,13:0,0.000479773,standardsplus,core
IRCO_10F0875_0071,batch_1,13:1,7.95722E-05,standardsplus,core
IRCO_10F0875_0071,batch_1,i-14:0,0,standardsplus,core
IRCO_10F0875_0071,batch_1,14:0,0.01816118,standardsplus,core
IRCO_10F0875_0071,batch_1,14:1,0,standardsplus,core
IRCO_10F0875_0071,batch_1,14:1w5,0,standardsplus,core
IRCO_10F0875_0071,batch_1,i-15:0,0,standardsplus,core
IRCO_10F0875_0071,batch_1,a-15:0,0,standardsplus,core
IRCO_10F0875_0071,batch_1,15:0,0.002452696,standardsplus,core
IRCO_10F0875_0071,batch_1,15:1w7,0,standardsplus,core
IRCO_10F0875_0071,batch_1,15:1w5,0,standardsplus,core
IRCO_10F0875_0071,batch_1,i-16:0,0,standardsplus,core
IRCO_10F0875_0071,batch_1,16:0,0.252379559,standardsplus,core
IRCO_10F0875_0071,batch_1,16:1w13,0,standardsplus,core
IRCO_10F0875_0071,batch_1,16:1w9,0,standardsplus,core
IRCO_10F0875_0071,batch_1,16:1w7t,0,standardsplus,core
IRCO_10F0875_0071,batch_1,16:1w8c,0,standardsplus,core
IRCO_10F0875_0071,batch_1,16:1w7c,0.001909732,standardsplus,core
IRCO_10F0875_0071,batch_1,16:1w6c,0,standardsplus,core
IRCO_10F0875_0071,batch_1,16:1w5t,0,standardsplus,core
IRCO_10F0875_0071,batch_1,16:1w5c,0,standardsplus,core
IRCO_10F0875_0071,batch_1,16:2w9,0,standardsplus,core
IRCO_10F0875_0071,batch_1,16:2w6,0.000234036,standardsplus,core
IRCO_10F0875_0071,batch_1,i-17:0,0,standardsplus,core
IRCO_10F0875_0071,batch_1,a-17:0,0,standardsplus,core
IRCO_10F0875_0071,batch_1,16:2w5,0,standardsplus,core
IRCO_10F0875_0071,batch_1,16:2w4,0,standardsplus,core
IRCO_10F0875_0071,batch_1,17:0,0.001291878,standardsplus,core
IRCO_10F0875_0071,batch_1,16:3w4,0,standardsplus,core
IRCO_10F0875_0071,batch_1,16:3w3,0,standardsplus,core
IRCO_10F0875_0071,batch_1,17:1w9c,0,standardsplus,core
IRCO_10F0875_0071,batch_1,17:1w7c,0,standardsplus,core
IRCO_10F0875_0071,batch_1,16:4n6,0,standardsplus,core
IRCO_10F0875_0071,batch_1,16:4w3,0,standardsplus,core
IRCO_10F0875_0071,batch_1,16:4w1,0.000234036,standardsplus,core
IRCO_10F0875_0071,batch_1,17:2,0,standardsplus,core
IRCO_10F0875_0071,batch_1,18:0,0.012876651,standardsplus,core
IRCO_10F0875_0071,batch_1,18:1w9t,0,standardsplus,core
IRCO_10F0875_0071,batch_1,18:1w9c,0.013918111,standardsplus,core
IRCO_10F0875_0071,batch_1,18:1w8c,0,standardsplus,core
