sample,batch,FA,proportion,notes
PAPL_12F1081_0233,batch_11,13:0,0.000528442306210298,PUFA16
PAPL_12F1081_0233,batch_11,13:1,0.00138440875012385,PUFA16
PAPL_12F1081_0233,batch_11,i-14:0,0,PUFA16
PAPL_12F1081_0233,batch_11,14:0,0.0119009611044444,PUFA16
PAPL_12F1081_0233,batch_11,14:1,0.00632754615613268,PUFA16
PAPL_12F1081_0233,batch_11,14:1w5,0,PUFA16
PAPL_12F1081_0233,batch_11,i-15:0,0,PUFA16
PAPL_12F1081_0233,batch_11,a-15:0,0,PUFA16
PAPL_12F1081_0233,batch_11,15:0,0.00319817687404357,PUFA16
PAPL_12F1081_0233,batch_11,15:1w7,0,PUFA16
PAPL_12F1081_0233,batch_11,15:1w5,0,PUFA16
PAPL_12F1081_0233,batch_11,i-16:0,0,PUFA16
PAPL_12F1081_0233,batch_11,16:0,0.279067079145245,PUFA16
PAPL_12F1081_0233,batch_11,16:1w13,0,PUFA16
PAPL_12F1081_0233,batch_11,16:1w9,0,PUFA16
PAPL_12F1081_0233,batch_11,16:1w7t,0,PUFA16
PAPL_12F1081_0233,batch_11,16:1w8c,0,PUFA16
PAPL_12F1081_0233,batch_11,16:1w7c,0.0726415509781687,PUFA16
PAPL_12F1081_0233,batch_11,16:1w6c,0,PUFA16
PAPL_12F1081_0233,batch_11,16:1w5t,0,PUFA16
PAPL_12F1081_0233,batch_11,16:1w5c,0,PUFA16
PAPL_12F1081_0233,batch_11,16:2w6,0,PUFA16
PAPL_12F1081_0233,batch_11,14:4w3,0,PUFA16
PAPL_12F1081_0233,batch_11,i-17:0,0,PUFA16
PAPL_12F1081_0233,batch_11,a-17:0,0,PUFA16
PAPL_12F1081_0233,batch_11,16:2w5,0,PUFA16
PAPL_12F1081_0233,batch_11,16:2w4,0,PUFA16
PAPL_12F1081_0233,batch_11,17:0,0.00123578435150221,PUFA16
PAPL_12F1081_0233,batch_11,16:3w4,0.00382294980899013,PUFA16
PAPL_12F1081_0233,batch_11,16:3w3,0.000165138220690718,PUFA16
PAPL_12F1081_0233,batch_11,17:1w9c,0,PUFA16
PAPL_12F1081_0233,batch_11,17:1w7c,0,PUFA16
PAPL_12F1081_0233,batch_11,16:4w3,0.00090826021379895,PUFA16
PAPL_12F1081_0233,batch_11,16:4w1,0,PUFA16
PAPL_12F1081_0233,batch_11,17:2,0,PUFA16
PAPL_12F1081_0233,batch_11,18:0,0.0261606464610879,PUFA16
PAPL_12F1081_0233,batch_11,18:1w9t,0,PUFA16
PAPL_12F1081_0233,batch_11,18:1w9c,0.0527423953849372,PUFA16
PAPL_12F1081_0233,batch_11,18:1w8c,0,PUFA16
PAPL_12F1081_0233,batch_11,18:1w7c,0.0556433234617375,PUFA16
PAPL_12F1081_0233,batch_11,18:1w5c,0,PUFA16
PAPL_12F1081_0233,batch_11,18:1w6c,0,PUFA16
PAPL_12F1081_0233,batch_11,"18:2w7,12c",0,PUFA16
PAPL_12F1081_0233,batch_11,18:2w6t,0,PUFA16
PAPL_12F1081_0233,batch_11,18:2w6c,0.015561524996422,PUFA16
PAPL_12F1081_0233,batch_11,18:2w3,0,PUFA16
PAPL_12F1081_0233,batch_11,18:2,0,PUFA16
PAPL_12F1081_0233,batch_11,18:3w6,0.000649543668050158,PUFA16
PAPL_12F1081_0233,batch_11,18:3w4,0,PUFA16
PAPL_12F1081_0233,batch_11,19:0,0.492799973577885,PUFA16
PAPL_12F1081_0233,batch_11,18:3w3,0.00120826131472042,PUFA16
PAPL_12F1081_0233,batch_11,18:3w1,0,PUFA16
PAPL_12F1081_0233,batch_11,18:4w3c,0.0010183523609261,PUFA16
PAPL_12F1081_0233,batch_11,18:4w1,0,PUFA16
PAPL_12F1081_0233,batch_11,18:5w3,0,PUFA16
PAPL_12F1081_0233,batch_11,20:0,0,PUFA16
PAPL_12F1081_0233,batch_11,20:1w11,0,PUFA16
PAPL_12F1081_0233,batch_11,20:1w9,0.00084770953287902,PUFA16
PAPL_12F1081_0233,batch_11,20:1w7,0,PUFA16
PAPL_12F1081_0233,batch_11,20:1w5,0,PUFA16
PAPL_12F1081_0233,batch_11,20:2w6,0.00191285105633415,PUFA16
PAPL_12F1081_0233,batch_11,20:3n7,0,PUFA16
PAPL_12F1081_0233,batch_11,20:3w6,0.000737617385751874,PUFA16
PAPL_12F1081_0233,batch_11,20:4w6,0.12125273854216,PUFA16
PAPL_12F1081_0233,batch_11,20:3w3,0,PUFA16
PAPL_12F1081_0233,batch_11,20:4,0,PUFA16
PAPL_12F1081_0233,batch_11,20:4w3,0,PUFA16
PAPL_12F1081_0233,batch_11,20:5w3,0.313245186220867,PUFA16
PAPL_12F1081_0233,batch_11,21:0,0,PUFA16
PAPL_12F1081_0233,batch_11,22:0,0,PUFA16
PAPL_12F1081_0233,batch_11,22:1w9c,0,PUFA16
PAPL_12F1081_0233,batch_11,22:1w7c,0,PUFA16
PAPL_12F1081_0233,batch_11,22:2w6,0,PUFA16
PAPL_12F1081_0233,batch_11,21:5w3,0,PUFA16
PAPL_12F1081_0233,batch_11,23:0,0,PUFA16
PAPL_12F1081_0233,batch_11,22:4w6,0,PUFA16
PAPL_12F1081_0233,batch_11,22:5w6,0,PUFA16
PAPL_12F1081_0233,batch_11,22:3w6,0,PUFA16
PAPL_12F1081_0233,batch_11,22:6w4,0,PUFA16
PAPL_12F1081_0233,batch_11,22:5w3,0.00163211608115993,PUFA16
PAPL_12F1081_0233,batch_11,22:6w3,0.00352019640439048,PUFA16
PAPL_12F1081_0233,batch_11,24:0,0,PUFA16
PAPL_12F1081_0233,batch_11,24:1,0,PUFA16
PAPL_12F1081_0233,batch_11,24:1w9,0,PUFA16
PAPL_12F1081_0233,batch_11,24:1w7,0,PUFA16
PAPL_12F1081_0233,batch_11,26:0,0,PUFA16
PAPL_12F1081_0233,batch_11,26:4w2,0,PUFA16
PAPL_12F1081_0233,batch_11,27:0,0,PUFA16
PAPL_12F1081_0233,batch_11,28:0,0,PUFA16
PAPL_12F1081_0233,batch_11,29:0,0,PUFA16
