sample,batch,FA,proportion
DEME_07F0563_0036,batch_2,16:1w5c,0.00814861563910706
DEME_07F0563_0036,batch_2,16:2w6,0
DEME_07F0563_0036,batch_2,i-17:0,0
DEME_07F0563_0036,batch_2,a-17:0,0
DEME_07F0563_0036,batch_2,16:2w5,0.00391513335367652
DEME_07F0563_0036,batch_2,16:2w4,0
DEME_07F0563_0036,batch_2,17:0,0.000865177958068318
DEME_07F0563_0036,batch_2,16:3w4,0
DEME_07F0563_0036,batch_2,16:3w3,0
DEME_07F0563_0036,batch_2,17:1w9c,0
DEME_07F0563_0036,batch_2,17:1w7c,0
DEME_07F0563_0036,batch_2,16:4w3,0
DEME_07F0563_0036,batch_2,16:4w1,0
DEME_07F0563_0036,batch_2,17:2,0
DEME_07F0563_0036,batch_2,18:0,0.0136260451060325
DEME_07F0563_0036,batch_2,18:1w9t,0
DEME_07F0563_0036,batch_2,18:1w9c,0.105044992807954
DEME_07F0563_0036,batch_2,18:1w8c,0
DEME_07F0563_0036,batch_2,18:1w7c,0
DEME_07F0563_0036,batch_2,18:1w5c,0
DEME_07F0563_0036,batch_2,18:1w6c,0
DEME_07F0563_0036,batch_2,"18:2w7,12c",0
DEME_07F0563_0036,batch_2,18:2w6t,0
DEME_07F0563_0036,batch_2,18:2w6c,0.0540177716894884
DEME_07F0563_0036,batch_2,18:2w3,0
DEME_07F0563_0036,batch_2,18:2,0
DEME_07F0563_0036,batch_2,18:3w6,0.00480366705474434
DEME_07F0563_0036,batch_2,18:3w4,0
DEME_07F0563_0036,batch_2,19:0,0.177986501396013
DEME_07F0563_0036,batch_2,18:3w3,0.0754202637472665
DEME_07F0563_0036,batch_2,18:4w3c,0.113187007910996
DEME_07F0563_0036,batch_2,18:4w1,0
DEME_07F0563_0036,batch_2,18:5w3,0
DEME_07F0563_0036,batch_2,20:0,0.00885588846515704
DEME_07F0563_0036,batch_2,20:1w11,0
DEME_07F0563_0036,batch_2,20:1w9,0
DEME_07F0563_0036,batch_2,20:1w7,0
DEME_07F0563_0036,batch_2,20:1w5,0
DEME_07F0563_0036,batch_2,20:2w6,0.00226246066969039
DEME_07F0563_0036,batch_2,20:3n7,0
DEME_07F0563_0036,batch_2,20:3w6,0.00948141619070878
DEME_07F0563_0036,batch_2,20:4w6,0.198443085862312
DEME_07F0563_0036,batch_2,20:3w3,0.00199082322393537
DEME_07F0563_0036,batch_2,20:4w3,0.014193691207629
DEME_07F0563_0036,batch_2,20:5w3,0.196550762945809
DEME_07F0563_0036,batch_2,21:0,0
DEME_07F0563_0036,batch_2,22:0,0.00029194678749371
DEME_07F0563_0036,batch_2,22:1w9c,0
DEME_07F0563_0036,batch_2,22:1w7c,0
DEME_07F0563_0036,batch_2,22:2w6,0
DEME_07F0563_0036,batch_2,21:5w3,0
DEME_07F0563_0036,batch_2,23:0,0
DEME_07F0563_0036,batch_2,22:4w6,0
DEME_07F0563_0036,batch_2,22:5w6,0
DEME_07F0563_0036,batch_2,22:3w6,0
DEME_07F0563_0036,batch_2,22:6w4,0
DEME_07F0563_0036,batch_2,22:5w3,0
DEME_07F0563_0036,batch_2,22:6w3,0
DEME_07F0563_0036,batch_2,24:0,0
DEME_07F0563_0036,batch_2,24:1,0
DEME_07F0563_0036,batch_2,24:1w9,0
DEME_07F0563_0036,batch_2,26:0,0
DEME_07F0563_0036,batch_2,26:4w2,0
DEME_07F0563_0036,batch_2,27:0,0
DEME_07F0563_0036,batch_2,28:0,0
DEME_07F0563_0036,batch_2,29:0,0
DEME_09F0780_0068,batch_2,8:0,1.99870238091577E-05
DEME_09F0780_0068,batch_2,9:0,9.37852655660479E-05
DEME_09F0780_0068,batch_2,10:0,1.74245848592657E-05
DEME_09F0780_0068,batch_2,11:0,5.63736568976244E-05
DEME_09F0780_0068,batch_2,11:1,0
DEME_09F0780_0068,batch_2,12:0,0.000106597460315508
DEME_09F0780_0068,batch_2,13:0,0
DEME_09F0780_0068,batch_2,13:1,0.000139909166664104
DEME_09F0780_0068,batch_2,i-14:0,0
DEME_09F0780_0068,batch_2,14:0,0.0414151632837348
DEME_09F0780_0068,batch_2,14:1,0
DEME_09F0780_0068,batch_2,14:1w5,0
DEME_09F0780_0068,batch_2,i-15:0,0
DEME_09F0780_0068,batch_2,a-15:0,0
DEME_09F0780_0068,batch_2,15:0,0.00111158601646316
DEME_09F0780_0068,batch_2,15:1w7,0
DEME_09F0780_0068,batch_2,15:1w5,0
DEME_09F0780_0068,batch_2,i-16:0,0
DEME_09F0780_0068,batch_2,16:0,0.134019656981672
DEME_09F0780_0068,batch_2,16:1w13,0
DEME_09F0780_0068,batch_2,16:1w9,0
DEME_09F0780_0068,batch_2,16:1w7t,0
DEME_09F0780_0068,batch_2,16:1w8c,0
DEME_09F0780_0068,batch_2,16:1w7c,0
DEME_09F0780_0068,batch_2,16:1w6c,0.0645893486587682
DEME_09F0780_0068,batch_2,16:1w5t,0
DEME_09F0780_0068,batch_2,16:1w5c,0.0100872971701449
DEME_09F0780_0068,batch_2,16:2w6,0
DEME_09F0780_0068,batch_2,i-17:0,0
DEME_09F0780_0068,batch_2,a-17:0,0
DEME_09F0780_0068,batch_2,16:2w5,0.00768065450840634
DEME_09F0780_0068,batch_2,16:2w4,0
DEME_09F0780_0068,batch_2,17:0,0.000736957441988945
DEME_09F0780_0068,batch_2,16:3w4,0
DEME_09F0780_0068,batch_2,16:3w3,0
DEME_09F0780_0068,batch_2,17:1w9c,0
DEME_09F0780_0068,batch_2,17:1w7c,0
DEME_09F0780_0068,batch_2,16:4w3,0
DEME_09F0780_0068,batch_2,16:4w1,0
DEME_09F0780_0068,batch_2,17:2,0
DEME_09F0780_0068,batch_2,18:0,0.00947538674891071
DEME_09F0780_0068,batch_2,18:1w9t,0
DEME_09F0780_0068,batch_2,18:1w9c,0.0876400244764169
DEME_09F0780_0068,batch_2,18:1w8c,0
