Data Filename,Sample Type,FA,Ret Time,Area,Height,Conc,,,Area %,Height %,,Notes
IRCO_10F0875_0071_342020_23.qgd,Unknown,10:0,8.484,7053,4315,0.0111,-----,-----,84.2149,86.9609,1,
IRCO_15F1424_0105_342020_20.qgd,Unknown,10:0,8.485,1751,1116,0.0028,-----,-----,44.3403,54.6791,1,
PHAN_02F0095_0051_342020_8.qgd,Unknown,10:0,8.484,3513,1999,0.0055,-----,-----,57.1405,59.0896,1,
PHAN_03F0175_0052_342020_9.qgd,Unknown,10:0,8.485,4180,2547,0.0066,-----,-----,49.5907,60.9476,1,
PHAN_04F0230_0053_342020_25.qgd,Unknown,10:0,8.483,3454,2312,0.0054,-----,-----,62.88,72.2952,1,
PLCA_09F0719_0108_342020_19.qgd,Unknown,10:0,8.486,7322,3948,0.0116,-----,-----,57.4049,61.8712,1,
PLCA_14F1214_0106_342020_14.qgd,Unknown,10:0,8.489,8433,4611,0.0133,-----,-----,49.0234,52.6911,1,
PLCA_15F1397_0107_342020_15.qgd,Unknown,10:0,8.49,4614,2498,0.0073,-----,-----,65.7078,66.9346,1,
DEME_03F0154_0033_342020_7.qgd,Unknown,11:0,9.544,4928,1892,0.0077,-----,-----,69.068,64.7723,1,
DEME_04F0245_0034_342020_27.qgd,Unknown,11:0,9.548,10440,6040,0.0162,-----,-----,91.5388,93.7888,1,
DEME_12F1165_0090_342020_21.qgd,Unknown,11:0,9.546,5863,2189,0.0091,-----,-----,53.4458,51.9582,1,
DEME_13F1242_0087_342020_22.qgd,Unknown,11:0,9.548,8060,4520,0.0125,-----,-----,57.4442,61.413,1,
DEME_14F1312_0088_342020_12.qgd,Unknown,11:0,9.549,9869,4942,0.0153,-----,-----,68.3212,71.9255,1,
DEME_15F1416_0089_342020_13.qgd,Unknown,11:0,9.55,12667,7558,0.0197,-----,-----,68.5889,79.0917,1,
HIGR_07F0558_0050_342020_26.qgd,Unknown,11:0,9.548,7193,3838,0.0112,-----,-----,77.3358,80.0083,1,
HIGR_11F0992_0124_342020_18.qgd,Unknown,11:0,9.55,5861,2963,0.0091,-----,-----,76.8353,84.224,1,
HIGR_12F1091_0125_342020_16.qgd,Unknown,11:0,9.55,4413,2932,0.0069,-----,-----,53.8631,56.7887,1,
IRCO_08F0676_0069_342020_10.qgd,Unknown,11:0,9.545,952,485,0.0015,-----,-----,30.251,26.766,1,
IRCO_09F0720_0070_342020_11.qgd,Unknown,11:0,9.505,2248,772,0.0035,-----,-----,66.4892,55.2613,1,
IRCO_10F0875_0071_342020_23.qgd,Unknown,11:0,9.547,3570,1603,0.0055,-----,-----,72.4138,77.5895,1,
IRCO_15F1424_0105_342020_20.qgd,Unknown,11:0,9.551,1447,909,0.0022,-----,-----,28.7617,31.8724,1,
PHAN_02F0095_0051_342020_8.qgd,Unknown,11:0,9.548,9985,5244,0.0155,-----,-----,85.3638,88.8362,1,
PHAN_03F0175_0052_342020_9.qgd,Unknown,11:0,9.548,11038,6171,0.0171,-----,-----,74.1004,81.0055,1,
PHAN_04F0230_0053_342020_25.qgd,Unknown,11:0,9.548,1781,1242,0.0028,-----,-----,48.2525,50.5083,1,
PLCA_09F0719_0108_342020_19.qgd,Unknown,11:0,9.548,2179,1219,0.0034,-----,-----,29.6301,28.362,1,
PLCA_14F1214_0106_342020_14.qgd,Unknown,11:0,9.553,4889,1979,0.0076,-----,-----,19.8885,15.1381,1,
PLCA_15F1397_0107_342020_15.qgd,Unknown,11:0,9.547,4139,1816,0.0064,-----,-----,45.2449,43.269,1,
DEME_03F0154_0033_342020_7.qgd,Unknown,11:1,10.032,1220,259,0.0053,-----,-----,21.6044,8.5875,1,
DEME_04F0245_0034_342020_27.qgd,Unknown,11:1,10.031,632,331,0.0028,-----,-----,5.5139,4.4234,1,
DEME_12F1165_0090_342020_21.qgd,Unknown,11:1,10.03,1113,456,0.0048,-----,-----,13.4307,10.238,1,
DEME_13F1242_0087_342020_22.qgd,Unknown,11:1,10.03,1314,505,0.0057,-----,-----,11.6644,7.3146,1,
DEME_14F1312_0088_342020_12.qgd,Unknown,11:1,10.03,552,271,0.0024,-----,-----,5.1311,3.9066,1,
DEME_15F1416_0089_342020_13.qgd,Unknown,11:1,10.042,905,340,0.0039,-----,-----,6.5737,3.7946,1,
HIGR_07F0558_0050_342020_26.qgd,Unknown,11:1,10.031,1013,412,0.0044,-----,-----,10.8831,7.6537,1,
HIGR_11F0992_0124_342020_18.qgd,Unknown,11:1,10.033,1430,652,0.0062,-----,-----,18.2398,15.2479,1,
HIGR_12F1091_0125_342020_16.qgd,Unknown,11:1,10.034,4081,1747,0.0178,-----,-----,39.1275,29.3811,1,
IRCO_08F0676_0069_342020_10.qgd,Unknown,11:1,10.031,969,634,0.0042,-----,-----,41.6774,42.9831,1,
IRCO_09F0720_0070_342020_11.qgd,Unknown,11:1,10.033,740,334,0.0032,-----,-----,70.0758,68.1633,1,
IRCO_10F0875_0071_342020_23.qgd,Unknown,11:1,10.03,682,270,0.003,-----,-----,15.5886,11.2688,1,
IRCO_15F1424_0105_342020_20.qgd,Unknown,11:1,10.038,1007,279,0.0044,-----,-----,27.9489,15.4914,1,
