,C12:0,C12:0,C14:0,C14:0,C14:1w5,C14:1w5,C15:0,C15:0,C16:0,C16:0,C16:1w7c,C16:1w7c,C16:2w6,C16:2w6,C16:2w6,C16:2w6,C17:0,C17:0,C16:3n4,C16:3n4,C16:3n3,C16:3n3,C16:4n3,C16:4n3,C16:4w1,C16:4w1,C18:0,C18:0,C18:1w9c,C18:1w9c,C18:1w7c,C18:1w7c,C18:1n,C18:1n,C18:2w6c,C18:2w6c,C18:3w6,C18:3w6,C19:0,C19:0,C18:3w3,C18:3w3,C18:4w3,C18:4w3,C18:5w3,C18:5w3,C20:0,C20:0,C20:4w6,C20:4w6,C20:4w3,C20:4w3,C20:5w3,C20:5w3,C22:0,C22:0,C22:5w3,C22:5w3,C22:6w3,C22:6w3
data filename,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc
ANTSEA_011_PLCA.qgd,"178,309",0.41,"1,331,388",2.91,-----,-----,"64,035",0.36,"6,475,414",14.24,"248,702",1.45,"7,664",0.03,"32,922",0.15,"19,276",0.28,"56,973",0.22,,,,,"95,522",0.37,"378,382",1.16,"48,592",0.7,"49,099",0.43,-----,-----,"51,568",0.65,"34,963",0.53,"10,141,519",20.63,"32,675",0.29,"42,562",0.16,,,"105,765",0.6,"1,591,616",8.09,"17,812",0.08,"5,032,934",22.76,"142,430",0.5,"5,789",0.56,"14,202",1.02
ANTSEA_012_PLCA.qgd,"40,600",0.11,"572,064",1.35,-----,-----,"33,404",0.3,"3,062,772",6.92,"287,427",1.66,"3,486",0.02,"32,762",0.15,"6,664",0.25,"53,671",0.21,,,,,"121,054",0.47,"222,884",0.82,"65,851",0.79,"40,437",0.39,-----,-----,"47,400",0.63,"13,686",0.43,"10,261,531",20.87,"46,392",0.34,"63,975",0.25,,,"71,828",0.52,"591,091",3.37,-----,-----,"2,341,772",10.84,"67,373",0.3,"3,035",0.54,"7,096",0.98
ANTSEA_013_LAAN.qgd,"8,521",0.04,"705,926",1.62,-----,-----,"21,981",0.27,"5,866,503",12.93,"1,601,300",8.75,"52,165",0.24,"287,874",1.3,"5,305",0.25,"815,985",3.16,,,,,"664,967",2.58,"159,036",0.68,"134,811",1.17,"664,978",3.19,-----,-----,"688,745",3.53,"69,754",0.7,"10,627,526",21.61,"3,874,878",15.18,"287,201",1.11,,,"7,352",0.37,"209,162",1.57,"29,681",0.13,"3,174,833",14.53,"3,895",0.14,"13,497",0.61,"44,899",1.23
ANTSEA_014_LAAN.qgd,"11,799",0.05,"781,529",1.78,-----,-----,"32,077",0.3,"6,740,162",14.81,"2,296,646",12.5,"57,075",0.26,"331,292",1.5,"8,716",0.25,"766,540",2.97,,,,,"654,808",2.54,"170,081",0.71,"201,128",1.53,"951,241",4.48,-----,-----,"834,603",4.19,"83,727",0.77,"10,598,584",21.55,"3,957,912",15.5,"376,438",1.46,,,"6,572",0.37,"325,337",2.12,"34,658",0.15,"3,761,472",17.13,"2,772",0.13,"24,618",0.69,"58,702",1.32
ANTSEA_015_LAAN.qgd,"8,195",0.04,"656,196",1.52,-----,-----,"23,981",0.28,"4,696,657",10.42,"1,479,005",8.09,"47,497",0.21,"290,677",1.31,"5,746",0.25,"672,225",2.6,,,,,"538,641",2.09,"103,988",0.56,"113,159",1.05,"506,224",2.48,-----,-----,"482,464",2.6,"48,566",0.6,"10,268,125",20.89,"2,252,504",8.89,"233,691",0.91,,,"5,970",0.37,"199,446",1.52,"22,462",0.1,"2,689,767",12.38,"2,201",0.13,"11,137",0.6,"44,269",1.23
ANTSEA_016_PLCA.qgd,"69,190",0.17,"539,816",1.28,-----,-----,"30,938",0.29,"3,136,398",7.08,"141,085",0.87,"4,133",0.02,"21,067",0.1,"14,673",0.27,"29,903",0.12,,,,,"60,706",0.24,"273,312",0.93,"104,402",1,"61,460",0.48,-----,-----,"40,654",0.6,"15,972",0.44,"9,748,746",19.84,"22,280",0.25,"54,050",0.21,,,"72,981",0.52,"605,894",3.44,"7,225",0.03,"2,408,648",11.14,"49,263",0.26,"5,878",0.56,"87,517",1.52
ANTSEA_017_TRAN.qgd,"7,534",0.04,"223,108",0.63,-----,-----,"51,782",0.34,"4,808,761",10.66,"24,279",0.24,-----,-----,-----,-----,"17,998",0.27,111,0,,,,,-----,-----,"116,210",0.59,"92,239",0.93,"12,202",0.26,-----,-----,"23,503",0.52,"8,747",0.4,"10,168,265",20.69,"5,570",0.19,-----,-----,,,"3,891",0.36,"1,713,856",8.67,-----,-----,"980,975",4.81,-----,-----,-----,-----,-----,-----
ANTSEA_018_DEAN.qgd,"3,477",0.03,"1,588,288",3.44,"16,038",0.16,"53,590",0.34,"4,370,089",9.72,"99,168",0.64,-----,-----,"58,496",0.26,"40,788",0.32,"7,844",0.03,,,,,"6,667",0.03,"567,677",1.57,"1,196,166",6.93,"52,631",0.45,"27,246",0.12,"650,708",3.36,"61,358",0.66,"10,552,788",21.46,"1,181,878",4.74,"1,827,296",7.08,,,"250,960",0.94,"3,165,712",15.52,"138,665",0.61,"2,317,484",10.73,-----,-----,-----,-----,706,0.93
ANTSEA_021_DEAN.qgd,"3,334",0.03,"204,280",0.59,-----,-----,"48,801",0.33,"4,359,395",9.7,"54,477",0.4,-----,-----,"3,826",0.02,"15,877",0.27,"1,346",0.01,,,,,-----,-----,"176,583",0.72,"74,928",0.84,"22,814",0.31,-----,-----,"28,138",0.54,"4,979",0.38,"11,707,670",23.79,"10,845",0.21,"1,389",0.01,,,"4,887",0.37,"2,245,038",11.18,-----,-----,"1,253,369",6.02,-----,-----,-----,-----,764,0.93
ANTSEA_022_TRAN.qgd,"13,452",0.05,"360,621",0.91,-----,-----,"91,000",0.42,"6,598,414",14.5,"40,934",0.33,-----,-----,"3,298",0.01,"36,833",0.31,"5,805",0.02,,,,,"5,760",0.02,"152,310",0.67,"96,255",0.96,"20,310",0.3,-----,-----,"32,504",0.56,"8,851",0.4,"10,835,632",22.03,"6,574",0.19,"2,483",0.01,,,"5,101",0.37,"3,401,370",16.64,-----,-----,"1,584,411",7.48,-----,-----,-----,-----,-----,-----
