,C12:0,C12:0,C14:0,C14:0,C14:1w5,C14:1w5,C15:0,C15:0,C16:0,C16:0,C16:1w7c,C16:1w7c,C16:2w6,C16:2w6,C16:2w6,C16:2w6,C17:0,C17:0,C16:3n4,C16:3n4,C16:3n3,C16:3n3,C16:4n3,C16:4n3,C16:4w1,C16:4w1,C18:0,C18:0,C18:1w9c,C18:1w9c,C18:1w7c,C18:1w7c,C18:1n,C18:1n,C18:2w6c,C18:2w6c,C18:3w6,C18:3w6,C19:0,C19:0,C18:3w3,C18:3w3,C18:4w3,C18:4w3,C18:5w3,C18:5w3,C20:0,C20:0,C20:4w6,C20:4w6,C20:4w3,C20:4w3,C20:5w3,C20:5w3,C22:0,C22:0,C22:5w3,C22:5w3,C22:6w3,C22:6w3
data filename,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc
IRCO_09F0720_0070_342020_11.qgd,"11,277",-0.12,"124,717",0.15,-----,-----,"16,483",0.05,"2,340,520",3.97,"29,759",0.17,-----,-----,-----,-----,"5,778",0.07,861,0,-----,-----,-----,-----,713,0,"210,372",0.51,"64,553",0.42,"20,411",0.15,-----,-----,"30,514",0.24,"2,210",0.13,"13,765,260",23.74,"3,270",0.08,722,0,,,"5,755",0.22,"235,018",1.31,-----,-----,"1,359,871",6.24,-----,-----,619,0.14,-----,-----
IRCO_10F0875_0071_342020_23.qgd,"471,952",0.61,"501,250",0.74,-----,-----,"63,795",0.13,"6,408,220",10.88,"18,948",0.12,-----,-----,"1,553",0.01,"30,416",0.11,471,0,-----,-----,-----,-----,"1,555",0.01,"302,985",0.68,"131,825",0.72,"136,538",0.62,-----,-----,"72,086",0.41,"24,747",0.24,"14,466,197",24.95,"10,607",0.11,"6,676",0.03,,,"6,851",0.22,"1,708,267",8.01,-----,-----,"4,032,266",18.1,"11,940",0.06,"10,221",0.21,-----,-----
IRCO_15F1424_0105_342020_20.qgd,"17,961",-0.11,"299,641",0.42,-----,-----,"33,357",0.07,"5,126,678",8.7,"81,047",0.41,-----,-----,-----,-----,"10,738",0.08,913,0,-----,-----,-----,-----,164,0,"207,467",0.51,"232,195",1.17,"51,262",0.28,-----,-----,"87,092",0.47,"25,271",0.24,"13,352,880",23.03,"37,836",0.22,"49,101",0.2,,,"6,985",0.22,"576,674",2.86,"7,580",0.03,"3,812,643",17.12,"1,042",0.03,"3,544",0.16,-----,-----
PHAN_02F0095_0051_342020_8.qgd,"35,274",-0.08,"1,588,038",2.44,-----,-----,"251,452",0.44,"18,001,770",30.6,"642,790",3.02,"11,169",0.05,"91,903",0.38,"44,054",0.14,"161,720",0.66,-----,-----,-----,-----,"200,877",0.82,"782,494",1.58,"299,154",1.47,"120,907",0.55,-----,-----,"187,863",0.89,"56,064",0.39,"16,772,110",28.91,"386,003",1.64,"422,198",1.72,,,"13,307",0.23,"9,798,150",44.78,"11,948",0.05,"7,863,903",35.1,"2,206",0.03,"8,490",0.2,"30,932",0.6
PHAN_03F0175_0052_342020_9.qgd,"47,238",-0.06,"1,110,030",1.69,-----,-----,"261,589",0.45,"21,082,192",35.84,"105,247",0.52,-----,-----,"5,471",0.02,"95,246",0.24,"5,442",0.02,-----,-----,-----,-----,"3,400",0.01,"1,595,569",3.09,"286,914",1.41,"42,152",0.24,-----,-----,"66,213",0.38,"43,041",0.33,"16,583,654",28.58,"23,735",0.16,"1,919",0.01,,,"18,334",0.24,"13,726,134",62.64,-----,-----,"6,649,970",29.71,"4,239",0.04,"3,215",0.16,-----,-----
PHAN_04F0230_0053_342020_25.qgd,"25,047",-0.1,"634,566",0.95,-----,-----,"130,246",0.23,"9,136,231",15.52,"958,490",4.49,"8,521",0.04,"30,957",0.13,"36,664",0.13,"26,131",0.11,-----,-----,-----,-----,"34,545",0.14,"1,193,041",2.34,"383,699",1.84,"194,401",0.85,-----,-----,"319,855",1.45,"23,539",0.23,"16,137,350",27.82,"109,080",0.51,"125,292",0.51,,,"17,814",0.24,"1,825,519",8.54,"4,038",0.02,"4,685,122",20.99,"3,222",0.04,"61,799",0.61,"85,224",1.01
PLCA_09F0719_0108_342020_19.qgd,"460,688",0.59,"4,088,776",6.36,-----,-----,"179,862",0.32,"19,914,678",33.86,"2,960,989",13.82,"47,902",0.2,"326,312",1.37,"25,186",0.1,"621,770",2.54,-----,-----,-----,-----,"728,088",2.97,"742,271",1.5,"186,088",0.96,"143,611",0.65,-----,-----,"244,957",1.13,"96,199",0.59,"17,566,332",30.27,"193,912",0.86,"480,948",1.96,,,"131,135",0.44,"4,182,270",19.25,"49,166",0.22,"13,340,798",59.4,"190,162",0.49,"14,830",0.25,"90,495",1.05
PLCA_14F1214_0106_342020_14.qgd,"499,373",0.65,"3,111,470",4.83,-----,-----,"161,700",0.29,"15,185,493",25.81,"296,251",1.41,"5,392",0.02,"35,085",0.15,"58,361",0.17,"84,258",0.34,-----,-----,-----,-----,"61,441",0.25,"652,636",1.33,"82,635",0.5,"130,038",0.59,-----,-----,"59,003",0.35,"37,343",0.3,"16,677,676",28.75,"28,467",0.18,"28,103",0.11,,,"164,683",0.5,"3,231,482",14.93,"51,665",0.23,"11,582,647",51.6,"364,374",0.91,"18,607",0.28,"14,071",0.47
PLCA_15F1397_0107_342020_15.qgd,"424,722",0.54,"2,990,871",4.64,-----,-----,"199,578",0.35,"16,524,287",28.09,"403,566",1.91,"8,758",0.04,"42,141",0.18,"82,379",0.21,"72,052",0.29,-----,-----,-----,-----,"71,554",0.29,"927,645",1.85,"112,645",0.64,"112,089",0.52,"10,257",0.04,"108,480",0.56,"32,014",0.27,"14,098,605",24.31,"39,293",0.23,"108,873",0.44,,,"154,755",0.49,"3,459,344",15.97,"55,670",0.25,"12,412,448",55.28,"82,898",0.23,"47,050",0.5,"609,989",5.02
Average,"114,320",0.21,"3,167,065",4.92,"47,618",0.19,"147,449",0.26,"12,236,199",20.8,"614,173",2.89,"31,808",0.13,"146,909",0.62,"61,137",0.17,"255,131",1.04,-----,-----,-----,-----,"227,785",0.93,"1,187,886",2.33,"1,945,993",8.79,"77,278",0.38,"62,775",0.25,"964,844",4.15,"88,777",0.56,"16,153,291",27.84,"1,486,285",6.13,"2,089,801",8.52,,,"464,842",1.04,"5,775,675",26.5,"258,164",1.15,"6,664,818",29.78,"47,660",0.15,"230,805",1.9,"129,962",1.35
%RSD,162.913419,100.061154,91.40349,92.279189,54.316355,51.7561,52.957579,48.946983,46.911048,46.950466,126.681199,125.368118,125.137441,124.259587,200.611233,200.379612,61.43785,41.223793,327.622115,327.673274,-----,-----,-----,-----,282.215029,282.113347,88.308401,83.719106,138.336752,136.210938,69.007832,55.86888,74.581361,74.498323,127.984993,124.683278,105.489995,83.658521,10.78102,10.747319,118.430577,117.170632,120.087152,120.102566,,,118.985064,95.251456,76.060205,75.367933,102.163249,102.14173,64.024593,63.579887,196.237205,155.509203,227.988828,211.64201,163.892716,120.209516
Maximum,"499,373",0.65,"11,114,682",17.37,"89,577",0.36,"261,589",0.45,"21,082,192",35.84,"2,960,989",13.82,"150,448",0.63,"1,302,786",5.45,"141,932",0.32,"3,657,915",14.92,-----,-----,-----,-----,"2,794,724",11.4,"4,134,361",7.81,"10,416,767",46.46,"194,401",0.85,"163,059",0.65,"4,659,761",19.61,"339,093",1.8,"19,469,033",33.54,"5,376,109",22,"7,709,167",31.45,,,"1,879,275",3.58,"14,714,105",67.13,"834,169",3.7,"16,387,567",72.92,"364,374",0.91,"1,844,156",14.22,"609,989",5.02
Minimum,"11,277",0.06,"124,717",0.15,"21,362",0.09,"16,483",0.05,"2,340,520",3.97,"18,948",0.12,"4,229",0.02,-----,-----,"5,778",0.07,471,0,-----,-----,-----,-----,164,0,"207,467",0.51,"64,553",0.42,"15,618",0.14,"10,257",0.04,"30,514",0.24,"2,210",0.13,"13,352,880",23.03,"3,270",0.08,722,0,,,"5,169",0.22,"235,018",1.31,"2,350",0.01,"1,359,871",6.24,"1,042",0.03,336,0.14,320,0.36
Std. Dev.,"186,242.62",0.208022,"2,894,807.90",4.536251,"25,864.36",0.100637,"78,085.31",0.129065,"5,740,129.19",9.763473,"778,041.65",3.623139,"39,803.18",0.165975,"294,716.17",1.232862,"37,561.52",0.070731,"835,866.44",3.409527,-----,-----,-----,-----,"642,843.50",2.622169,"1,049,003.55",1.950655,"2,692,022.86",11.972225,"53,328.16",0.213184,"46,818.60",0.186991,"1,234,856.13",5.169106,"93,651.30",0.465406,"1,741,489.55",2.992506,"1,760,216.03",7.18071,"2,509,582.82",10.237796,,,"553,092.49",0.99262,"4,392,990.31",19.970122,"263,749.18",1.1708,"4,267,122.87",18.933086,"93,526.31",0.225946,"526,209.61",4.018847,"212,998.91",1.626435
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C12:0,C12:0,C14:0,C14:0,C14:1w5,C14:1w5,C15:0,C15:0,C16:0,C16:0,C16:1w7c,C16:1w7c,C16:2w6,C16:2w6,C16:2w6,C16:2w6,C17:0,C17:0,C16:3n4,C16:3n4,C16:3n3,C16:3n3,C16:4n3,C16:4n3,C16:4w1,C16:4w1,C18:0,C18:0,C18:1w9c,C18:1w9c,C18:1w7c,C18:1w7c,C18:1n,C18:1n,C18:2w6c,C18:2w6c,C18:3w6,C18:3w6,C19:0,C19:0,C18:3w3,C18:3w3,C18:4w3,C18:4w3,,,C20:0,C20:0,C20:4w6,C20:4w6,C20:4w3,C20:4w3,C20:5w3,C20:5w3,C22:0,C22:0,C22:5w3,C22:5w3,C22:6w3,C22:6w3
batch 2,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,,,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc
DEME_05F0328_0035_352020_7.qgd,"11,121",0.31,"3,165,367",5.19,"6,502",0.13,"86,941",0.46,"8,685,792",14.74,"133,324",0.75,"1,001",0,"110,317",0.44,"47,741",0.35,"11,449",0.04,-----,-----,-----,-----,"12,761",0.05,"1,026,533",2.28,"2,595,670",11.97,"8,329",0.29,"49,142",0.19,"1,521,738",6.64,"90,454",0.84,"13,433,039",23.21,"1,578,715",6.23,"2,121,056",8.16,,,"482,879",1.33,"4,899,355",22.34,"168,159",0.72,"4,046,553",17.74,"8,534",0.13,"1,894",0.51,-----,-----
DEME_07F0563_0036_352020_27.qgd,"14,899",0.31,"6,656,985",10.51,"23,956",0.2,"155,941",0.57,"15,135,695",25.33,"252,228",1.28,"7,294",0.03,"176,337",0.71,"91,091",0.42,"18,514",0.07,-----,-----,-----,-----,"37,698",0.15,"1,434,245",3.02,"4,475,734",20.14,"45,446",0.44,"73,866",0.29,"2,452,588",10.37,"81,848",0.8,"19,237,396",33.09,"3,527,962",13.73,"5,272,539",20.29,,,"898,380",2.14,"8,055,818",36.21,"610,152",2.6,"8,326,429",36,"19,865",0.15,"1,376",0.51,-----,-----
DEME_08F0679_0067_352020_24.qgd,"42,656",0.35,"22,942,156",35.3,"11,305",0.15,"260,654",0.73,"16,468,258",27.51,"4,782,329",21.51,"135,415",0.54,"1,197,213",4.8,"424,409",1.03,"47,706",0.18,-----,-----,-----,-----,"19,699",0.08,"27,225,894",50.28,"32,268,898",141,"162,496",0.89,"147,885",0.58,"12,759,363",51.68,"33,148",0.57,"12,955,979",22.4,"4,660,662",18.09,"4,235,957",16.3,,,"6,485,487",12.98,"20,303,808",90.02,"708,518",3.02,"10,619,800",45.78,"22,360",0.16,-----,-----,-----,-----
DEME_09F0780_0068_352020_10.qgd,"12,727",0.31,"5,029,937",8.03,"20,437",0.19,"123,540",0.51,"15,215,655",25.46,"2,617,115",11.84,"29,032",0.12,"341,976",1.37,"69,930",0.39,"394,099",1.52,-----,-----,-----,-----,"779,913",3,"976,347",2.18,"3,680,181",16.68,"99,960",0.65,"82,696",0.32,"2,172,004",9.25,"143,343",1.09,"16,648,086",28.68,"3,366,115",13.11,"4,044,848",15.57,,,"793,579",1.94,"8,359,285",37.54,"372,037",1.59,"8,057,373",34.85,"23,349",0.16,-----,-----,"59,762",1.37
DEME_12F1162_0086_352020_12.qgd,"21,261",0.32,"7,972,204",12.51,"10,198",0.15,"154,162",0.56,"14,610,949",24.47,"585,473",2.77,"22,343",0.09,"238,865",0.96,"105,130",0.45,"13,556",0.05,-----,-----,-----,-----,"14,035",0.05,"3,298,332",6.44,"6,992,458",31.08,"91,022",0.61,"87,591",0.34,"2,579,880",10.88,"184,536",1.29,"17,287,084",29.77,"3,348,005",13.04,"4,000,971",15.4,,,"1,389,359",3.09,"9,246,337",41.44,"467,962",2,"8,066,010",34.89,"19,431",0.15,-----,-----,-----,-----
DEME_14F1329_0091_352020_13.qgd,"23,190",0.33,"11,704,987",18.2,"14,651",0.16,"164,188",0.58,"16,349,996",27.32,"766,946",3.58,"34,045",0.14,"250,381",1,"164,438",0.56,"12,092",0.05,-----,-----,-----,-----,"13,137",0.05,"4,846,514",9.27,"11,322,334",49.91,"81,294",0.57,"196,961",0.77,"4,412,973",18.23,"260,334",1.65,"19,981,389",34.36,"4,689,655",18.21,"5,648,279",21.74,,,"2,201,294",4.67,"11,513,797",51.4,"655,073",2.79,"8,125,381",35.14,"14,998",0.14,-----,-----,-----,-----
DEME_15F1408_0085_352020_22.qgd,"17,913",0.32,"6,951,774",10.96,"12,886",0.16,"156,759",0.57,"16,683,601",27.87,"258,958",1.31,"7,946",0.03,"225,396",0.9,"115,246",0.47,"28,769",0.11,-----,-----,-----,-----,"37,848",0.15,"1,204,184",2.6,"5,501,169",24.6,"66,403",0.52,"144,477",0.56,"3,024,702",12.67,"279,748",1.75,"19,991,485",34.37,"5,223,592",20.26,"7,842,610",30.18,,,"773,607",1.9,"11,485,932",51.28,"492,522",2.1,"8,719,257",37.67,"13,630",0.14,-----,-----,-----,-----
DEME_15F1427_0092_352020_21.qgd,"19,036",0.32,"9,276,118",14.5,"23,541",0.2,"159,935",0.57,"14,518,830",24.31,"684,853",3.21,"14,566",0.06,"218,627",0.88,"106,522",0.45,"13,217",0.05,-----,-----,-----,-----,"17,857",0.07,"3,132,951",6.13,"8,312,032",36.82,"44,771",0.43,"124,495",0.49,"4,215,639",17.44,"302,997",1.86,"17,628,371",30.35,"4,017,994",15.62,"5,695,811",21.92,,,"1,597,566",3.5,"10,572,760",47.26,"461,220",1.97,"8,968,094",38.74,"14,006",0.14,-----,-----,-----,-----
HIGR_07F0557_0049_352020_8.qgd,"14,203",0.31,"2,979,430",4.91,"58,456",0.33,"164,716",0.58,"9,593,612",16.23,"605,946",2.86,"57,425",0.23,"48,123",0.19,"59,313",0.37,"48,872",0.19,-----,-----,-----,-----,"126,104",0.49,"1,130,874",2.47,"1,926,098",9.05,"22,904",0.35,"29,685",0.12,"841,131",3.91,"118,057",0.97,"16,018,052",27.61,"2,671,761",10.44,"4,470,880",17.21,,,"887,817",2.12,"5,846,028",26.5,"426,152",1.82,"4,319,212",18.91,"16,934",0.15,"1,244,883",9.42,-----,-----
HIGR_09F0705_0122_352020_18.qgd,"12,072",0.31,"3,220,332",5.28,"59,593",0.33,"244,432",0.71,"9,378,820",15.88,"695,263",3.26,"52,921",0.21,"55,061",0.22,"99,517",0.44,"37,872",0.15,-----,-----,-----,-----,"100,440",0.39,"750,560",1.77,"2,569,446",11.85,"15,112",0.32,"52,961",0.21,"766,483",3.61,"93,858",0.86,"15,572,159",26.85,"2,261,666",8.86,"3,829,725",14.74,,,"639,013",1.64,"6,340,079",28.67,"296,793",1.27,"3,772,442",16.57,"12,657",0.14,"1,109,927",8.46,-----,-----
HIGR_10F0835_0123_352020_16.qgd,"12,596",0.31,"1,937,163",3.32,"30,142",0.22,"161,835",0.58,"10,869,436",18.33,"996,885",4.61,"80,061",0.32,"41,833",0.17,"52,992",0.36,"37,531",0.14,-----,-----,-----,-----,"71,265",0.27,"536,683",1.38,"2,391,086",11.08,"15,151",0.32,"52,210",0.2,"677,383",3.26,"111,440",0.94,"16,160,418",27.85,"1,589,577",6.28,"2,250,057",8.66,,,"814,720",1.98,"5,345,631",24.3,"177,117",0.76,"2,708,648",12.04,"15,304",0.14,"1,123,493",8.55,-----,-----
IRCO_08F0677_0073_352020_23.qgd,"12,217",0.31,"119,281",0.56,-----,-----,"20,446",0.35,"1,705,417",3.29,"33,042",0.3,-----,-----,662,0,"5,606",0.27,"1,312",0.01,-----,-----,-----,-----,"1,976",0.01,"126,821",0.63,"73,437",1,"11,911",0.3,-----,-----,"31,249",0.67,"6,640",0.44,"8,736,481",15.21,"2,697",0.17,"4,502",0.02,,,"4,215",0.41,"226,822",1.81,"2,765",0.01,"1,110,940",5.22,-----,-----,-----,-----,-----,-----
IRCO_11F1005_0072_352020_11.qgd,"35,925",0.34,"541,074",1.2,866,0.11,"66,681",0.42,"5,380,327",9.32,"147,392",0.81,-----,-----,"19,941",0.08,"19,324",0.29,"29,921",0.12,-----,-----,-----,-----,"42,097",0.16,"254,156",0.86,"343,587",2.17,"72,097",0.54,-----,-----,"124,278",1.04,"25,094",0.53,"15,472,509",26.68,"32,276",0.28,"66,340",0.26,,,"7,518",0.41,"570,617",3.32,"22,027",0.09,"3,659,818",16.09,-----,-----,"6,696",0.55,"21,981",1.1
IRCO_14F1336_0104_352020_20.qgd,"28,612",0.33,"565,096",1.23,-----,-----,"41,396",0.38,"5,082,645",8.83,"226,024",1.16,"2,410",0.01,"26,058",0.1,"13,637",0.28,"40,262",0.15,-----,-----,-----,-----,"53,671",0.21,"190,494",0.74,"213,910",1.61,"66,614",0.52,-----,-----,"91,091",0.91,"13,698",0.48,"15,687,734",27.05,"47,337",0.34,"82,950",0.32,,,"8,307",0.41,"408,086",2.61,"6,685",0.03,"3,048,339",13.49,-----,-----,-----,-----,"5,601",0.98
PHAN_05F0317_0054_352020_9.qgd,"46,491",0.36,"898,978",1.74,-----,-----,"272,224",0.75,"11,234,689",18.93,"1,530,520",6.99,"12,652",0.05,"72,503",0.29,"50,796",0.35,"98,130",0.38,-----,-----,-----,-----,"80,843",0.31,"945,904",2.13,"306,321",2.01,"319,809",1.5,-----,-----,"248,195",1.54,"17,496",0.49,"16,542,655",28.5,"33,101",0.29,"50,840",0.2,,,"15,788",0.43,"1,594,268",7.82,"3,431",0.01,"5,107,469",22.27,"3,713",0.12,"82,082",1.09,"124,569",1.83
PHAN_08F0600_0055_352020_25.qgd,"32,249",0.34,"1,186,050",2.18,-----,-----,"286,682",0.78,"15,463,889",25.87,"622,279",2.93,"5,163",0.02,"56,974",0.23,"174,058",0.57,"116,040",0.45,-----,-----,-----,-----,"58,751",0.23,"2,844,946",5.61,"330,539",2.11,"137,899",0.8,"8,003",0.03,"382,600",2.08,"23,279",0.52,"18,498,650",31.83,"26,472",0.26,"97,662",0.38,,,"38,343",0.47,"9,892,820",44.28,"37,538",0.16,"4,736,168",20.68,"9,497",0.13,"56,652",0.9,"645,728",5.57
PLCA_08F0608_0048_352020_26.qgd,"416,498",0.93,"2,812,614",4.66,-----,-----,"161,618",0.58,"14,016,834",23.49,"703,337",3.29,"11,611",0.05,"132,721",0.53,"69,256",0.38,"323,851",1.25,-----,-----,-----,-----,"251,468",0.97,"1,195,111",2.58,"75,182",1,"131,896",0.77,"4,279",0.02,"85,129",0.88,"65,341",0.72,"14,998,356",25.87,"36,509",0.3,"116,343",0.45,,,"104,881",0.6,"3,629,152",16.76,"31,078",0.13,"10,585,755",45.64,"113,196",0.38,"33,568",0.74,"165,961",2.13
PLCA_10F0863_0109_352020_15.qgd,"489,968",1.04,"3,469,243",5.66,-----,-----,"146,901",0.55,"15,730,402",26.3,"351,473",1.72,"6,568",0.03,"57,417",0.23,"60,636",0.37,"83,792",0.32,-----,-----,-----,-----,"129,235",0.5,"688,151",1.66,"259,375",1.81,"116,564",0.71,-----,-----,"335,194",1.89,"83,218",0.81,"15,874,142",27.36,"364,337",1.56,"654,679",2.52,,,"121,337",0.63,"3,893,513",17.92,"45,444",0.19,"10,459,767",45.1,"205,427",0.6,"19,693",0.64,"26,131",1.13
PLCA_11F0972_0110_352020_19.qgd,"557,636",1.14,"3,120,846",5.13,-----,-----,"153,060",0.56,"16,573,249",27.69,"99,065",0.6,"2,195",0.01,"12,536",0.05,"59,534",0.37,"15,375",0.06,-----,-----,-----,-----,"35,212",0.14,"892,737",2.03,"87,450",1.06,"70,721",0.53,-----,-----,"43,713",0.72,"64,899",0.72,"15,753,277",27.16,-----,-----,"8,192",0.03,,,"125,414",0.64,"2,824,522",13.22,"54,011",0.23,"11,687,739",50.34,"200,068",0.58,"5,725",0.54,-----,-----
Average,"95,856",0.44,"4,976,297",7.95,"22,711",0.19,"156,953",0.57,"12,247,268",20.59,"846,971",3.94,"28,391",0.11,"172,786",0.69,"94,167",0.43,"72,229",0.28,-----,-----,-----,-----,"99,158",0.38,"2,773,760",5.48,"4,406,574",19.84,"83,179",0.58,"81,096",0.32,"1,935,018",8.3,"105,233",0.91,"16,130,382",27.8,"2,082,135",8.17,"2,657,592",10.23,,,"915,237",2.17,"6,579,402",29.72,"265,194",1.13,"6,638,168",28.8,"44,561",0.21,"283,623",2.53,"105,315",1.7
%RSD,183.988939,61.830882,108.623383,103.50171,82.78832,36.447852,46.279386,20.556949,36.871234,35.99369,133.214363,128.023063,125.609534,124.62333,154.476458,154.654449,97.439051,38.736427,147.118416,147.279726,-----,-----,-----,-----,176.674455,175.818828,218.091471,202.376926,169.617606,163.824585,87.991196,48.820472,71.563078,71.448123,154.013245,143.930827,86.833165,47.879583,16.237829,16.039688,91.354828,89.581586,94.88322,94.863373,,,162.155605,132.508996,76.038819,73.955623,93.940056,93.98264,48.220438,47.414187,149.481173,74.577419,176.575538,141.81557,188.28585,83.797066
Maximum,"557,636",1.14,"22,942,156",35.3,"59,593",0.33,"286,682",0.78,"16,683,601",27.87,"4,782,329",21.51,"135,415",0.54,"1,197,213",4.8,"424,409",1.03,"394,099",1.52,-----,-----,-----,-----,"779,913",3,"27,225,894",50.28,"32,268,898",141,"319,809",1.5,"196,961",0.77,"12,759,363",51.68,"302,997",1.86,"19,991,485",34.37,"5,223,592",20.26,"7,842,610",30.18,,,"6,485,487",12.98,"20,303,808",90.02,"708,518",3.02,"11,687,739",50.34,"205,427",0.6,"1,244,883",9.42,"645,728",5.57
Minimum,"11,121",0.31,"119,281",0.56,866,0.11,"20,446",0.35,"1,705,417",3.29,"33,042",0.3,"1,001",0,662,0,"5,606",0.27,"1,312",0.01,-----,-----,-----,-----,"1,976",0.01,"126,821",0.63,"73,437",1,"8,329",0.29,"4,279",0.02,"31,249",0.67,"6,640",0.44,"8,736,481",15.21,"2,697",0.17,"4,502",0.02,,,"4,215",0.41,"226,822",1.81,"2,765",0.01,"1,110,940",5.22,"3,713",0.12,508,0.5,"1,050",0.95
Std. Dev.,"176,365.02",0.269778,"5,405,421.71",8.229475,"18,802.12",0.07077,"72,636.98",0.116742,"4,515,718.86",7.410343,"1,128,287.23",5.038718,"35,661.88",0.142217,"266,914.26",1.070372,"91,755.59",0.166567,"106,262.86",0.410058,-----,-----,-----,-----,"175,187.60",0.673664,"6,049,333.64",11.083865,"7,474,325.40",32.501935,"73,190.10",0.284187,"58,034.96",0.226436,"2,980,183.28",11.943986,"91,377.19",0.436712,"2,619,223.81",4.459033,"1,902,131.01",7.319313,"2,521,608.50",9.703524,,,"1,484,108.18",2.87963,"5,002,899.27",21.98039,"249,123.29",1.062993,"3,200,953.72",13.654288,"66,609.65",0.158943,"500,808.43",3.590116,"198,294.00",1.421198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C12:0,C12:0,C14:0,C14:0,C14:1w5,C14:1w5,C15:0,C15:0,C16:0,C16:0,C16:1w7c,C16:1w7c,C16:2w6,C16:2w6,C16:2w6,C16:2w6,C17:0,C17:0,C16:3n4,C16:3n4,C16:3n3,C16:3n3,C16:4n3,C16:4n3,C16:4w1,C16:4w1,C18:0,C18:0,C18:1w9c,C18:1w9c,C18:1w7c,C18:1w7c,C18:1n,C18:1n,C18:2w6c,C18:2w6c,C18:3w6,C18:3w6,C19:0,C19:0,C18:3w3,C18:3w3,C18:4w3,C18:4w3,,,C20:0,C20:0,C20:4w6,C20:4w6,C20:4w3,C20:4w3,C20:5w3,C20:5w3,C22:0,C22:0,C22:5w3,C22:5w3,C22:6w3,C22:6w3
batch 3,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,,,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc
DEME_03F0184_0037_3102020_7.qgd,"12,781",-0.34,"4,362,705",11.93,"19,352",0.16,"108,757",0.24,"9,147,573",27.85,"184,166",1.48,"10,392",0.07,"208,933",1.37,"69,127",0.25,"30,008",0.18,-----,-----,-----,-----,"26,159",0.15,"1,617,828",5.23,"3,199,746",26.12,"39,370",0.38,"66,316",0.45,"1,781,116",11.92,"232,391",1.98,"11,809,450",32.34,"2,811,335",16.61,"4,458,588",26.15,,,"736,928",2.47,"7,881,512",55.07,"378,005",2.51,"5,797,455",38.89,"13,197",0.15,-----,-----,"4,510",0.67
DEME_04F0246_0038_3102020_27.qgd,"19,972",-0.32,"4,663,031",12.77,"16,232",0.13,"191,614",0.48,"10,580,219",32.25,"1,154,595",8.97,"87,707",0.58,"818,241",5.37,"59,565",0.22,"1,918,987",11.25,-----,-----,-----,-----,"1,551,827",9.1,"1,129,371",3.68,"2,330,726",19.07,"36,821",0.36,"51,116",0.35,"1,842,692",12.32,"190,915",1.68,"11,636,531",31.87,"2,939,132",17.36,"4,798,504",28.14,,,"436,054",1.56,"5,167,375",36.26,"396,679",2.64,"9,490,767",63.44,"9,294",0.13,-----,-----,"221,353",2.99
DEME_09F0781_0065_3102020_24.qgd,"15,055",-0.33,"6,351,463",17.47,"14,784",0.13,"141,246",0.34,"9,450,020",28.78,"761,729",5.94,"17,373",0.11,"249,552",1.64,"106,853",0.37,"117,046",0.69,-----,-----,-----,-----,"414,370",2.43,"2,900,820",9.3,"4,513,071",36.78,"62,079",0.53,"99,681",0.67,"2,942,232",19.53,"138,133",1.31,"10,804,419",29.6,"3,300,749",19.48,"3,903,226",22.89,,,"1,403,136",4.48,"6,927,601",48.46,"355,320",2.36,"7,185,932",48.12,"14,292",0.15,-----,-----,"23,249",0.87
DEME_11F1004_0066_3102020_10.qgd,"7,847",-0.35,"2,827,030",7.65,"11,055",0.1,"69,994",0.13,"6,842,075",20.77,"264,175",2.1,"10,147",0.07,"139,421",0.91,"51,171",0.19,"115,041",0.67,-----,-----,-----,-----,"126,314",0.74,"506,634",1.7,"2,080,780",17.04,"35,284",0.35,"60,146",0.41,"1,212,843",8.19,"163,292",1.49,"10,009,385",27.43,"2,078,777",12.31,"2,820,774",16.54,,,"562,980",1.95,"5,472,648",38.37,"292,446",1.94,"4,201,837",28.29,"12,773",0.14,-----,-----,"6,872",0.69
