Sample,C12:0,C14:0,C14:1w5,C15:0,C16:0,C16:1w7c,C16:2w6,C16:2w6,C17:0,C16:3n4,C16:4w1,C18:0,C18:1w9c,C18:1w7c,C18:1n,C18:2w6c,C18:3w6,C19:0,C18:3w3,C18:4w3,C18:5w3,C20:0,C20:4w6,C20:4w3,C20:5w3,C22:0,C22:5w3,C22:6w3
PHAN_03F0186_0145_5222020_23.qgd,14713,491590,-----,171662,7096937,129978,2437,18807,38597,44955,24014,205880,80298,36844,-----,37160,17550,5326836,30587,36495,0,2527,4515579,1959,3126016,-----,4081,36132
PHAN_09F0709_0142_5222020_24.qgd,11759,546026,-----,111348,7121158,1322954,12531,89616,19266,109898,165931,227053,212508,167259,-----,170077,22725,6029103,27994,87922,0,3576,1038649,3242,4684923,2528,35560,90389
PHAN_13F1230_0143_5222020_8.qgd,27224,783275,-----,221326,10034212,189437,3607,27880,61347,68614,22625,391847,128229,24120,-----,48652,18166,6031859,4056,12761,0,7657,4815851,-----,3287990,3487,2003,18258
RHLA_11F1031_0198_5222020_18.qgd,6670,256724,-----,37996,3563081,68816,1626,1356,14077,2486,1030,139473,61762,574374,-----,127613,32321,6816469,4575,8457,0,3748,221050,6211,3273048,7842,3515,-----
TRAN_11F0994_0199_5222020_14.qgd,23991,748204,-----,100663,8361979,94007,3678,8301,31091,29211,29365,231365,168517,19867,-----,48298,10732,7231849,9711,7304,0,4125,6006692,-----,2049496,1345,-----,4918
BEDI_08F0577_0184_5242020_16.qgd,15174,1283688,-----,71674,3156177,1311551,39056,480529,12777,2107349,61396,356312,27945,52405,6550,18655,1519,7878925,114493,25022,2081809,19286,608058,4887,879795,-----,9466,432115
BEDI_09F0816_0177_5242020_18.qgd,58857,1640303,-----,49158,4691322,1875792,47647,825444,5508,3203681,41683,187419,350700,120025,5414,28772,2847,7717433,115859,28647,3055442,17559,145564,3441,1313689,-----,999,406464
BEDI_13F1227_0178_5242020_10.qgd,9244,1205653,-----,43779,2954995,1614772,44928,512827,6894,2064071,118750,199345,19971,58406,4562,17051,11089,6177029,79383,52614,1768722,3066,152741,3545,1245597,-----,12709,264378
BEDI_14F1342_0183_5242020_11.qgd,11220,1078977,-----,39082,3226926,1364654,32725,717947,3985,2109290,13402,189332,26847,33919,5881,18511,1649,6711988,92828,7479,1872847,4453,145896,-----,599202,-----,1955,203126
CYJA_14F1347_0201_5242020_13.qgd,5061,698865,-----,47101,4376067,38034,-----,32987,31136,3211,2436,181093,715158,1042,-----,565493,32959,6741762,1456223,967659,0,37442,2176588,3971,1804706,54192,22012,-----
DEAP_08F0688_0202_5242020_14.qgd,9639,2855744,18003,76672,6919922,290269,12229,157745,53651,119094,212237,555494,2018946,22719,17517,1699899,169895,6818927,2947282,4271988,0,459772,6053351,248114,4564018,9406,-----,11384
HIGR_09F0706_0129_5242020_24.qgd,4890,1279010,41872,85460,3959772,397036,35454,23820,33946,31307,68323,418228,884187,7533,-----,329506,50628,6125644,1140449,2002795,0,343143,2797552,128327,2185326,5963,694361,524
HIGR_14F1289_0140_5242020_25.qgd,5855,1166706,29356,59457,4189692,338640,14668,37923,20393,8526,33834,263150,1029017,8497,-----,441626,49483,6571489,1299508,2340761,0,205798,2823841,159962,1794675,2750,655421,-----
MYMA_08F0622_0158_5242020_27.qgd,5148,257002,851,48382,4457395,59270,1991,1833,17851,3834,2586,264425,91748,648181,-----,109949,38294,6873811,4103,6679,0,3995,277999,6353,2390549,5715,2848,-----
MYMA_08F0623_0165_5242020_19.qgd,8648,296554,-----,49707,4198679,98802,437,2397,20055,3618,3006,198770,56210,774724,-----,126875,27899,8156181,5157,6394,0,5146,150717,8228,3406146,6094,3375,-----
MYMA_09F0777_0159_5242020_20.qgd,4901,229675,767,33992,3739600,79020,1337,4021,16680,10813,2659,229189,48656,570534,-----,110794,26338,6761305,4088,7340,0,3832,248279,8890,2387135,7343,4166,23557
MYMA_10F0840_0160_5242020_8.qgd,7533,281737,-----,43644,4045231,112448,2270,3073,14650,7896,3707,194745,86680,579995,-----,99166,26222,6595114,5020,5500,0,2684,351124,4011,3217150,4188,2007,5209
PADE_12F1178_0196_5242020_15.qgd,13708,1283483,-----,67240,2369592,352303,15639,105234,7654,89468,326797,151305,152738,111028,8754,11943,8350,6480868,19223,119845,0,7412,25372,5862,3974047,6619,5094,4199
PHAN_04F0231_0146_5242020_7.qgd,6870,289354,-----,69114,4540463,769422,5462,26918,16491,21887,38819,179325,162633,111889,-----,137886,17453,6261845,25179,65652,0,3062,922860,2375,2790126,-----,26530,40197
PHAN_05F0318_0147_5242020_21.qgd,13621,289713,-----,69429,4429434,32963,-----,1718,20200,1055,1151,185411,50590,8207,-----,13504,3343,5815119,6443,-----,0,2834,2158069,-----,1278191,-----,-----,966
PHAN_08F0702_0148_5242020_26.qgd,16142,483358,-----,115871,6652393,132896,-----,7151,51126,6819,7248,194253,147754,33469,-----,169211,12114,6363036,10860,2184,0,2663,3914644,-----,2730116,-----,-----,5247
POPL_15F1417_0197_5242020_12.qgd,5187,33424,-----,11610,3376151,17968,-----,1073,4042,931,545,155225,53661,49959,-----,172364,6204,5905153,12799,8812,0,3555,267923,10835,3749338,-----,5086,-----
BEDI_08F0575_0176_5252020_16.qgd,4917,1105972,-----,36553,2812647,944453,32786,368156,3439,1860833,16753,61200,11177,11855,-----,7648,-----,8478463,53499,4979,1585799,3765,88532,-----,507755,-----,-----,224971
BEDI_09F0818_0185_5252020_9.qgd,9548,1475551,-----,42812,3490238,1552544,47356,585641,3403,3224509,6362,148345,9220,6282,-----,15664,-----,8322015,52581,5643,2403471,4413,101908,-----,596177,-----,-----,222908
BEDI_13F1229_0186_5252020_15.qgd,13028,1573381,-----,56663,4549283,1813666,67884,649012,13357,2775210,139496,541949,175585,220898,-----,24046,8913,8617997,90269,90235,2270967,10381,198458,3400,1626758,-----,11184,334414
BEDI_14F1391_0187_5252020_26.qgd,10242,1111724,-----,42095,2883280,1154960,28979,616251,5006,2061443,4382,147808,18063,11278,-----,12824,-----,7418708,94549,6136,1919069,4338,99021,-----,459570,-----,-----,162788
CAAT_14F1394_0212_5252020_23.qgd,21534,690108,-----,147516,8124360,98129,-----,5510,75795,9076,5745,291218,204661,30532,-----,200936,9335,8899742,14784,3968,0,6275,6833614,-----,1758856,-----,-----,12847
DEAN_07F0571_0203_5252020_11.qgd,8241,3737583,-----,59433,3792885,82353,6860,77794,20258,6029,14694,314718,1297784,4090,29378,681953,124562,9877579,1473484,3636147,0,156367,4986021,111264,4376541,-----,-----,-----
GISK_12F1095_0204_5252020_13.qgd,11048,106880,-----,21482,1880618,33004,-----,748,11139,107,-----,151050,99019,15526,-----,8875,2745,9025839,-----,-----,0,3948,429131,-----,814276,-----,-----,-----
HIGR_10F0836_0130_5252020_22.qgd,8581,1469815,49507,114748,5842670,479069,38713,30295,45604,20728,56353,488304,1131555,9576,29347,501775,64935,9187575,1248250,1844007,0,496822,3420355,100568,2120625,9908,904636,237
HIGR_12F1103_0139_5252020_21.qgd,4520,1099118,15420,75473,4792571,414350,27797,29408,16695,17557,54050,411589,767556,12723,15586,398895,33751,8733552,1012945,1481278,0,432871,2165760,85681,1479990,8309,687638,-----
HYSP_05F0291_0193_5252020_25.qgd,43913,539990,-----,181585,7977493,60488,-----,4946,65770,225,6838,353131,243821,75601,-----,384099,36262,8761606,3536,1887,0,6392,1177897,-----,3384861,-----,3406,15976
HYSP_05F0294_0205_5252020_24.qgd,17182,495024,-----,178136,8192710,87273,-----,8406,43607,15631,13568,373792,223807,107223,-----,380610,36099,9046801,4637,6497,0,4888,1485504,-----,4188014,-----,3247,7755
LAAN_14F1207_0194_5252020_14.qgd,25655,281354,-----,14646,4887563,226815,11826,50341,5676,170122,13093,333653,146374,894551,-----,745091,46577,8871887,4406513,156113,0,6187,218287,9154,853971,-----,19035,15445
MYMA_09F0778_0166_5252020_7.qgd,5343,410578,834,47400,5364927,139625,3153,13335,20342,17414,15249,336997,92883,853144,-----,153779,43113,9722875,113320,70529,0,6894,377242,9362,3656258,8458,5098,5166
MYMA_10F0841_0167_5252020_18.qgd,10756,432815,1414,74415,5809724,139407,2251,4082,22679,9270,5562,316245,89474,917784,-----,131760,34274,9756846,5747,7188,0,6524,426772,5103,4172154,5107,3578,7321
MYMA_14F1307_0175_5252020_27.qgd,5300,158123,1130,20276,2588731,56694,1211,1939,8471,2679,1468,158202,42812,338280,-----,56700,12473,9549899,5539,5264,0,3761,100044,2346,812204,3468,1093,-----
MYSM_12F1170_0195_5252020_10.qgd,15567,473945,950,54285,6050618,98690,1642,9852,16914,22620,25326,219827,85026,677234,-----,153461,30998,8459140,64128,155173,0,7605,1147869,2495,1523388,7310,3701,6306
PHAN_09F0710_0149_5252020_20.qgd,17184,429323,-----,80180,5304732,627923,5594,28394,24169,32650,22051,287326,155428,95595,-----,118416,6485,8209693,8803,12128,0,3995,790141,-----,2384583,-----,21497,40286
PHAN_13F1232_0157_5252020_19.qgd,44761,1127432,-----,253397,13258669,202547,4856,51317,88707,68336,65246,460109,231235,37970,-----,80247,45278,10193615,15098,24748,0,7585,7958769,-----,3762673,2692,3177,9114
CAAT_14F1346_0188_5282020_19.qgd,20225,496368,-----,85043,6760784,149433,-----,14944,44163,30217,10168,254719,212344,33137,-----,192961,6617,8350356,10934,13763,0,4210,3567541,-----,2151779,-----,-----,9368
DEAN_07F0570_0191_5282020_25.qgd,10920,4153502,-----,54870,3766210,88016,3167,72858,20595,5815,14977,408827,1446651,6092,28649,1083668,144202,8942746,1251061,2853802,0,203595,4327872,91243,3845968,5130,-----,1590
GISK_12F1080_0192_5282020_20.qgd,9771,144543,-----,38978,2697768,49464,-----,878,15538,747,-----,178948,133130,18132,-----,13009,1425,8687540,329,-----,0,3897,856484,-----,1052392,-----,-----,-----
HIGR_10F0837_0137_5282020_13.qgd,5939,1471456,34616,90388,5887204,565905,50979,37240,31782,37370,71896,455717,1052208,17278,18607,641172,69030,9629126,1078918,1505791,0,647340,3186339,100377,2041827,11811,853236,-----
HIGR_11F0984_0131_5282020_11.qgd,8325,2690260,27520,124645,8513949,706103,32060,72495,58658,17663,58474,640388,1887584,15552,25169,1235817,93506,9411865,1955634,2353160,0,791927,3588985,176902,3417397,12837,1407364,-----
HIGR_11F0985_0138_5282020_10.qgd,4923,1696682,7847,121564,4761512,375616,26261,33491,51582,8757,34681,352886,1149453,4015,18464,396515,27597,8593311,1177518,2031256,0,280377,2618348,108318,1698134,5801,520090,-----
HIGR_12F1102_0132_5282020_12.qgd,10598,1500005,29847,80935,6204441,442441,31346,26494,35251,31599,61409,508212,1269715,10223,23978,532086,60210,8508900,1375716,2055112,0,426810,3420997,141233,1983068,7106,672972,-----
LAAN_14F1208_0206_5282020_21.qgd,13667,350468,-----,16461,3792687,396067,13574,115443,1652,498111,9031,144918,98126,534699,-----,515899,31207,8649534,3116311,74591,0,4477,158891,9642,607521,-----,9702,44033
MYMA_10F0842_0173_5282020_27.qgd,14597,365988,992,52142,4358036,161280,3763,15120,17458,20832,14216,249299,69249,633733,-----,118424,26825,9010846,13149,12042,0,5428,172207,2070,1203056,6707,2561,6027
MYMA_11F1049_0168_5282020_7.qgd,7740,260138,868,43764,3730479,73933,1830,1436,12749,2293,-----,230497,59550,466790,-----,90652,26927,9348220,3717,8419,0,4870,151421,7470,2514406,7263,1814,-----
MYMA_11F1058_0174_5282020_18.qgd,8101,299054,974,47557,4391401,72179,1353,1254,17620,2723,-----,250345,77609,520853,-----,104997,24212,9062066,8114,8194,0,5331,232299,5490,1954393,7322,2615,-----
MYMA_14F1290_0169_5282020_16.qgd,7375,239453,1339,29786,3253497,55607,613,1363,10439,1454,-----,260423,44889,400261,-----,86651,9810,9798496,4026,2232,0,4837,67961,2871,764619,5402,1025,-----
MYSM_12F1194_0207_5282020_24.qgd,13757,382705,-----,49255,5579917,52691,1984,4749,12683,11546,6415,243685,106238,610297,-----,124796,30166,7293431,27873,53160,0,7481,1554458,755,3902099,5808,5586,826
PHAN_02F0097_0151_5282020_14.qgd,12204,778819,-----,108609,6332945,1345957,28985,231062,17274,540568,401256,432999,200703,123716,-----,158574,25880,6449861,227947,427998,0,7535,1651664,5762,4038667,1690,15008,129239
PHAN_08F0703_0155_5282020_15.qgd,18179,721817,-----,182312,9343506,111839,3664,5063,80523,3742,2101,301229,145058,27923,-----,183836,9882,8934174,19843,-----,0,5051,6092493,-----,3099673,-----,1732,-----
PHAN_09F0721_0156_5282020_8.qgd,25480,699364,-----,143812,9037400,586654,5622,20085,42286,23382,26080,483438,437573,113784,-----,141247,19161,8192157,33574,22912,0,4909,1000653,-----,5944046,-----,46952,207427
PHAN_13F1231_0150_5282020_9.qgd,22154,676219,-----,162549,8667081,300122,3333,23758,49436,30677,18690,306281,136423,51833,-----,68307,17549,6777951,24901,10901,0,5136,4028347,-----,2988833,-----,8026,38689
RHLA_11F1042_0210_5282020_23.qgd,7785,337184,-----,51339,5154316,124024,3119,2024,18628,4122,-----,198743,90082,857267,-----,183527,45187,8961703,7085,7194,0,5480,312931,5725,4235148,11960,3912,-----
TRAN_11F0982_0211_5282020_22.qgd,26358,858632,-----,168066,10781605,77954,-----,2769,62615,2818,-----,269717,147780,28077,-----,60140,10757,7764080,11121,-----,0,4570,5877542,-----,2686225,2396,1437,-----
CYJA_12F1097_0224_12162020_19.qgd,14279,1379753,11583,120564,6746813,65407,-----,53922,86209,5284,14007,851822,1100919,6970,6851,1219780,70803,11689345,2078759,1588212,0,175483,3564784,16828,2360372,106856,45585,-----
CYJA_14F1354_0213_12162020_7.qgd,15593,1528418,13450,108558,7239828,66535,-----,75579,76907,-----,4359,819583,980596,7183,7119,1072409,81743,12210237,2047456,2540517,0,150254,3371789,35334,3018866,75386,28236,-----
DEAN_07F0574_0215_12162020_9.qgd,28428,6405996,58835,129410,7376854,96338,11052,140499,55402,15369,28645,1079726,2634915,12272,58560,2148893,329760,12339659,2688258,4846732,0,495988,6185733,211259,6025318,10197,307,5692
DEAP_08F0689_0214_12162020_8.qgd,29642,4843252,69659,173720,9906758,184222,20495,206577,112440,106098,285601,1385799,2534667,40034,90030,1959366,208783,13242284,4363940,5633573,0,988926,7188685,538082,6164556,22541,7032,10589
GISK_12F1104_0216_12162020_10.qgd,19006,221690,3354,48022,3288314,2779,-----,1300,21531,-----,-----,630203,189473,29349,-----,12612,5375,11866461,3711,699,0,12427,876433,-----,1012691,-----,892,262
HYSP_05F0293_0217_12162020_11.qgd,42245,893416,-----,356166,10676787,75537,-----,5154,132198,6376,6585,817558,453650,232196,-----,747495,103851,11071008,11413,3546,0,14779,2324582,-----,5584816,-----,3810,2547
LAAN_14F1343_0218_12162020_12.qgd,33632,966073,-----,44857,6030033,91546,67743,267749,13848,960219,594023,500049,112769,603768,-----,650029,50283,11469069,3118786,253555,0,14303,372455,19194,3379167,-----,21097,47068
MYSM_12F1195_0219_12162020_13.qgd,62854,740201,-----,136562,8128997,88873,2798,8848,47754,32159,23850,694656,145417,959537,-----,208632,50396,11378186,19935,15943,0,16916,2414779,4124,4758779,17401,12418,30050
PADE_12F1180_0220_12162020_14.qgd,41973,3086853,-----,285445,5983668,45421,30342,204616,34422,229084,592888,848411,447525,330568,-----,52649,27456,10782436,79044,281631,0,27846,119291,33574,8034164,24692,19668,24408
POPL_15F1420_0221_12162020_15.qgd,15227,95114,-----,34247,7389322,38436,-----,1940,17185,1733,-----,672402,199470,150510,-----,541531,33198,11382062,47398,33343,0,16993,860625,76684,6669352,-----,16425,4238
RHLA_11F1043_0222_12162020_16.qgd,15903,380896,-----,63499,4029925,26944,-----,1442,25622,4120,-----,668396,97825,647264,-----,146197,35611,12350163,20103,11832,0,14547,263355,-----,2112125,12212,2639,803
TRAN_11F1023_0223_12162020_18.qgd,36892,763027,-----,116227,6441085,8639,-----,11157,41571,35143,38586,779256,114305,17976,-----,30251,11215,11846866,9180,10875,0,16475,3038447,-----,756083,-----,-----,6164
ADUT_15F1491_0225_12172020_7.qgd,15075,1605017,3760,62450,2747454,30959,-----,25586,16781,3111,-----,566717,294414,7326,-----,919651,7196,11235737,568215,804482,0,50333,544645,8224,964475,24914,-----,561
ASCR_14F1383_0251_12172020_22.qgd,19698,1067075,3450,113821,4833974,262007,-----,10074,20397,2635,-----,162936,86517,15089,-----,9897,2176,9380992,10416,-----,0,4460,3579436,-----,1404525,5043,-----,-----
ASMI_XXF0834_0249_12172020_21.qgd,57418,13024881,24599,437218,13006145,293002,17109,219440,195811,25204,58695,425052,11962420,74138,-----,3350629,330485,11448250,4001745,5784347,0,155277,5430340,494095,8957179,202146,4466,-----
CYOB_12F1101_0238_12172020_14.qgd,18160,255098,-----,242408,8708111,221180,7374,18181,56906,21037,26239,900468,450610,271702,24221,41763,142055,10128037,5028,47942,0,45430,986212,-----,2638028,3675,2157,-----
DEAN_12F1198_0253_12172020_23.qgd,8898,4753106,14889,95353,5903872,374196,4654,195316,32524,15087,18558,572304,1953258,17987,27469,1135553,103495,9989177,1649120,4606090,0,353586,3794350,95795,4676307,5404,-----,-----
DEAP_07F0545_0227_12172020_8.qgd,41149,4575828,8694,245432,9562898,302098,15953,180632,120854,195269,166372,1256635,2119828,66002,58565,2203689,298631,10682504,3566487,5276017,0,630377,6553926,441825,6046049,12406,-----,230360
DEAP_12F1092_0240_12172020_15.qgd,14635,1357492,22562,110209,5418255,1132432,88081,100771,54269,156675,587562,859471,820834,66156,27020,226847,39597,10395153,1406951,1972334,0,595351,3071343,119865,2612402,12005,954399,1767
GECO_12F1079_0229_12172020_9.qgd,40092,732954,-----,80141,5541619,451339,7362,27248,17622,35304,12122,608698,203920,128899,3441,192437,11466,10822269,35189,9481,0,10163,2318373,609,2016349,-----,3839,22592
GISK_12F1169_0255_12172020_24.qgd,16749,613244,1463,88116,6552924,73661,-----,2347,25014,1600,-----,175017,93238,6910,-----,19835,3754,9385154,6802,-----,0,2205,2518183,-----,482239,-----,-----,-----
GYAN_12F1206_0242_12172020_16.qgd,11071,209097,-----,65636,2598420,94727,991,2567,13990,2332,1917,263089,115260,12802,-----,35164,1993,8631316,10041,6609,0,5634,872235,-----,653060,-----,-----,4229
GYAN_14F1388_0257_12172020_25.qgd,9233,452799,-----,102662,4783953,229907,1883,3542,14717,2493,1822,156406,255345,30171,-----,67372,2645,9063651,10067,4264,0,3246,1719508,-----,1356890,-----,2419,4050
HYSP_05F0292_0231_12172020_10.qgd,55343,970969,-----,356114,12036964,187826,4883,15914,118855,45522,25655,1126503,428625,215153,-----,745160,69926,11683009,11553,7235,0,15456,2119361,-----,5584320,-----,3193,10875
HYSP_08F0700_0248_12172020_20.qgd,25499,797174,-----,220964,10573252,344428,3338,34716,79006,61322,64868,644044,252538,286921,-----,661391,22688,9740143,18595,12230,0,7876,1783127,3310,5601654,-----,4252,19069
LAAN_14F1209_0244_12172020_18.qgd,37670,708660,-----,40902,5519580,707610,34019,154316,13078,655474,286843,420040,124142,703914,-----,634639,18810,10688281,3743806,101247,0,10078,273901,13125,2074304,-----,30316,42538
PAPL_12F1081_0233_12172020_11.qgd,342889,235874,-----,65911,5455572,512527,4058,10164,26010,26387,15260,523941,334977,406126,-----,116382,2399,10632980,10563,8706,0,10296,866657,-----,2392830,-----,11724,22442
PASA_12F1185_0259_12172020_26.qgd,44935,677780,-----,119648,7115671,779901,-----,12656,34262,28466,17794,410204,324992,183823,1544,29079,21794,9971076,16041,14791,0,5930,3137991,2675,757625,3524,14477,31568
PIPL_11F1044_0246_12172020_19.qgd,20163,670994,-----,139226,9317426,529026,20598,78134,22333,279935,221641,562036,534164,1205429,2270,97023,29250,11057266,13562,19813,0,9728,1044601,4840,3909774,-----,5280,22536
RHLA_11F1048_0235_12172020_12.qgd,18751,489736,-----,75738,4754564,118008,-----,2852,-----,4483,-----,618638,182072,681583,-----,169983,40709,10628506,10587,6834,0,10160,399035,6351,2889807,12686,4037,6577
ASMI_XXF0832_0226_5132021_15.qgd,19415,7044729,8643,196968,7769210,275037,10555,177644,84483,23969,88053,315469,6585104,37485,-----,1773096,139174,9244895,2600874,4355673,0,74254,3466335,377764,6440627,141636,4366,-----
BACA_12F1116_0264_5132021_9.qgd,14341,920999,1470,86470,4782906,270245,5604,39251,46690,70018,75321,575881,169480,104994,-----,51336,10103,9302110,41047,62817,0,11001,690896,12501,3427458,4995,28351,248285
CORA_12F1201_0270_5132021_12.qgd,278405,492084,-----,55441,5081038,26488,-----,2507,20918,2247,7963,202699,141949,157744,-----,115410,65441,8952646,3092,-----,0,5177,1766195,-----,4393504,6099,6979,-----
DEAN_11F1052_0228_5132021_16.qgd,13528,5961203,30130,122087,10104508,934999,6168,218575,41119,16086,15920,1268451,4402997,8866,39290,2268203,204329,9052262,1366232,2897067,0,739452,3920794,160330,5465539,5817,-----,-----
DEAP_12F1144_0266_5132021_10.qgd,10254,3358221,3484,83589,7223361,872474,30077,395511,47429,420104,823488,586981,1916810,60723,51476,1040757,119812,10105749,2020491,2935594,0,427292,4382581,298239,6284067,13300,20751,21966
GISK_12F1159_0230_5132021_17.qgd,14648,109542,-----,26540,1671919,58708,-----,4104,8723,6109,9640,273893,101083,16650,-----,7364,4114,8088358,2974,3122,0,6677,391265,-----,857022,-----,764,-----
GISK_14F1293_0271_5132021_13.qgd,6527,67334,-----,22402,1251637,25449,-----,-----,8937,-----,-----,133701,98031,10145,-----,6376,-----,8858289,-----,-----,0,4179,381374,-----,624551,-----,-----,-----
HYSP_10F0854_0268_5132021_11.qgd,10646,400536,-----,79448,6562897,90623,-----,5652,29727,11650,6540,253648,191853,130561,-----,395594,12780,9217741,10140,4298,0,6019,1442448,-----,3015772,-----,4128,4776
TRAN_15F1500_0262_5132021_8.qgd,23523,588513,-----,90820,9415892,42739,-----,3105,38463,3434,-----,301327,87809,24195,-----,31084,10176,7564820,8751,2197,0,4864,6910833,2511,902947,2026,1015,9112
ASCR_14F1382_0263_5142021_25.qgd,15292,709413,-----,87945,4071870,247995,2534,9118,21246,1682,-----,148529,149752,22210,-----,17687,-----,9099378,8410,769,0,6631,3849701,-----,1536746,6350,-----,-----
ASMI_XXF0833_0237_5142021_33.qgd,31191,10453814,14918,245183,10386063,249168,11972,203833,121299,22081,40575,295276,9835586,38741,-----,3022287,295033,9044925,3991156,5312053,0,109345,5271889,439737,9056946,196976,5471,-----
CORA_12F1200_0254_5142021_18.qgd,299048,448500,570,55642,5488955,17031,-----,1175,20972,1727,-----,140175,110030,135194,-----,83619,25003,8082120,3174,-----,0,4016,2680999,-----,4248251,14458,7607,-----
CYJA_14F1349_0189_5142021_22.qgd,4138,976591,-----,60686,5975638,250332,1342,35330,49308,-----,-----,239408,1054784,3446,13106,900167,49630,8518828,1730037,1021280,0,172687,3930341,-----,2117231,93602,51234,-----
CYOB_12F1164_0265_5142021_13.qgd,10505,178320,958,140505,7471408,277963,7604,22336,27007,36705,40477,209743,356576,202635,18786,40290,134883,9171539,21537,80784,0,26414,985568,-----,2270228,2481,3925,8863
CYOB_12F1193_0250_5142021_16.qgd,6746,132682,-----,152893,7664090,183093,5822,12283,25627,16713,19851,155938,372929,205063,19107,36162,106722,8209494,6597,35654,0,23641,967215,372,2486306,2341,2251,5051
DEAN_12F1175_0267_5142021_14.qgd,5634,2177027,4379,35304,2329254,77950,-----,30779,12406,6128,9895,247936,826649,3689,33473,325567,31140,9173376,663705,1427957,0,140219,3129117,51598,2213419,2773,-----,-----
DEAN_12F1199_0241_5142021_17.qgd,8658,3366515,8201,51171,3329763,283926,6783,153972,21329,53982,79878,366106,1006664,18372,22780,639376,89057,8062696,1549336,4241745,0,193276,3466916,107370,4387090,4222,1998,-----
DEAP_08F0624_0190_5142021_8.qgd,9598,3094085,3171,65906,7223743,1316274,24037,234640,37934,306383,430032,487406,1867051,12943,50186,1471561,173243,11068116,3099609,4834723,0,462730,6188949,352997,6922126,11694,1450,23254
DEAP_09F0728_0269_5142021_9.qgd,11095,3534116,5978,77772,7487702,1282955,26436,233004,34018,300260,647538,753233,1807213,45342,35458,1195280,90272,9327380,1911773,2485073,0,529278,4692737,277419,5319503,16223,1807,49387
DEAP_14F1390_0252_5142021_27.qgd,3274,767073,14639,35608,2659514,725080,38466,71476,15922,76992,313110,270719,465348,21410,22116,120128,25394,7177400,678613,960259,0,237168,2044899,52235,1612942,5681,571000,-----
DEPU_15F1405_0239_5142021_29.qgd,352652,1424979,-----,131003,6438481,220412,-----,19194,30960,13628,8925,351577,376361,151034,-----,309280,12320,7602762,10772,3642,0,6268,1230313,-----,4322477,-----,2976,8334
GECO_12F1098_0256_5142021_11.qgd,14750,393638,-----,30309,3454736,272649,4037,17350,5133,27758,16674,177118,90718,74968,1004,102583,7261,8042450,36398,23318,0,4806,1682386,-----,1653843,-----,11734,12811
HYSP_14F1393_0243_5142021_28.qgd,9556,395379,-----,93782,6898705,32378,-----,2082,30805,2940,2240,279954,246164,95181,-----,347242,17021,7607955,9194,2771,0,7164,1109520,-----,3877691,-----,3041,-----
MYSM_14F1291_0232_5142021_19.qgd,14053,375229,5643,48307,6725482,34825,-----,1923,14962,6178,-----,317814,90825,516275,-----,151865,23923,6778246,6950,4143,0,7034,1972169,-----,5384621,7486,9157,-----
PADE_12F1179_0208_5142021_15.qgd,8521,2195618,-----,146399,4237896,295221,-----,24750,13643,17924,69537,187766,370723,230880,-----,16728,-----,10006917,9499,49893,0,8342,76417,-----,8955492,20565,10673,-----
PAOR_14F1318_0245_5142021_21.qgd,9743,58221,-----,14694,1363873,43981,-----,1738,8204,-----,-----,153673,69625,4849,-----,10891,-----,7252023,3014,-----,0,3706,256479,-----,856450,-----,-----,-----
PAOR_14F1387_0258_5142021_26.qgd,14097,118845,-----,40824,3026872,100078,-----,1548,15901,-----,-----,165998,192494,16863,-----,21003,-----,8276640,4074,-----,0,4103,674819,-----,2065986,2201,-----,-----
PIPL_11F1059_0260_5142021_10.qgd,41651,544402,-----,123349,8657250,433583,10720,42194,21126,147996,93993,360630,465492,1272467,-----,93567,26241,8629943,25913,32233,0,11404,1082614,-----,3797721,5726,27645,35523
POPL_15F1418_0234_5142021_30.qgd,9022,37400,1210,14014,3148271,29991,-----,1442,5623,-----,-----,303135,52581,53149,-----,153050,7111,7671590,6770,3704,0,6170,319473,9073,3367778,-----,5618,-----
POPL_15F1421_0209_5142021_31.qgd,6072,31638,-----,14234,6534959,257498,-----,1660,6659,-----,-----,205766,118495,115320,-----,386817,19459,8930516,15557,10602,0,3562,660835,57036,7674972,-----,18496,-----
SYAU_14F1357_0247_5142021_23.qgd,8528,1437213,-----,71781,4203653,751375,20598,132727,50565,333714,137473,439990,465746,84092,7317,532390,65481,8166969,1818732,2398066,0,36034,2005014,320102,3055140,10255,24419,320933
SYAU_14F1358_0261_5142021_24.qgd,9603,2630636,-----,177175,6289663,705580,25284,151998,115189,290193,137705,809865,747627,145164,10412,1207311,152579,9237015,3237284,4764052,0,54138,3676806,662514,4668935,16276,49612,275547
TRAN_12F1100_0236_5142021_12.qgd,19115,462319,3792,78612,7715125,59077,-----,1963,33339,2788,-----,461883,136027,17288,-----,42144,-----,8125129,8760,787,0,6896,4714508,-----,1602809,-----,-----,-----
ANTSEA_037_GECO.qgd,227813,973081,-----,54665,3792538,97958,1734,10552,11334,9638,20990,137071,241516,54172,9649,125233,10531,10217886,4172,2661,0,4322,615168,1728,1410082,-----,-----,-----
ANTSEA_038_GECO.qgd,141621,839736,-----,63204,3331010,96652,1389,9637,12674,9989,13143,140694,185375,58500,6225,105046,6688,10907570,4648,1067,0,3876,363388,-----,745583,-----,-----,-----
ANTSEA_039_GECO.qgd,405382,1597534,-----,99254,5303575,204498,3136,24252,15251,18304,71404,172228,348302,91365,32197,156437,21129,11195911,6196,4120,0,3688,828636,2817,2344630,-----,-----,-----
