Sample,C12:0,C14:0,C14:1w5,C15:0,C16:0,C16:1w7c,C16:2w6,C16:2w6,C17:0,C16:3n4,C16:4w1,C18:0,C18:1w9c,C18:1w7c,C18:1n,C18:2w6c,C18:3w6,C19:0,C18:3w3,C18:4w3,C18:5w3,C20:0,C20:4w6,C20:4w3,C20:5w3,C22:0,C22:5w3,C22:6w3
DEME_15F1427_0092_352020_21.qgd,19036,9276118,23541,159935,14518830,684853,14566,218627,106522,13217,17857,3132951,8312032,44771,124495,4215639,302997,17628371,4017994,5695811,0,1597566,10572760,461220,8968094,14006,-----,-----
HIGR_07F0557_0049_352020_8.qgd,14203,2979430,58456,164716,9593612,605946,57425,48123,59313,48872,126104,1130874,1926098,22904,29685,841131,118057,16018052,2671761,4470880,0,887817,5846028,426152,4319212,16934,1244883,-----
HIGR_09F0705_0122_352020_18.qgd,12072,3220332,59593,244432,9378820,695263,52921,55061,99517,37872,100440,750560,2569446,15112,52961,766483,93858,15572159,2261666,3829725,0,639013,6340079,296793,3772442,12657,1109927,-----
HIGR_10F0835_0123_352020_16.qgd,12596,1937163,30142,161835,10869436,996885,80061,41833,52992,37531,71265,536683,2391086,15151,52210,677383,111440,16160418,1589577,2250057,0,814720,5345631,177117,2708648,15304,1123493,-----
IRCO_08F0677_0073_352020_23.qgd,12217,119281,-----,20446,1705417,33042,-----,662,5606,1312,1976,126821,73437,11911,-----,31249,6640,8736481,2697,4502,0,4215,226822,2765,1110940,-----,-----,-----
IRCO_11F1005_0072_352020_11.qgd,35925,541074,866,66681,5380327,147392,-----,19941,19324,29921,42097,254156,343587,72097,-----,124278,25094,15472509,32276,66340,0,7518,570617,22027,3659818,-----,6696,21981
IRCO_14F1336_0104_352020_20.qgd,28612,565096,-----,41396,5082645,226024,2410,26058,13637,40262,53671,190494,213910,66614,-----,91091,13698,15687734,47337,82950,0,8307,408086,6685,3048339,-----,-----,5601
PHAN_05F0317_0054_352020_9.qgd,46491,898978,-----,272224,11234689,1530520,12652,72503,50796,98130,80843,945904,306321,319809,-----,248195,17496,16542655,33101,50840,0,15788,1594268,3431,5107469,3713,82082,124569
PHAN_08F0600_0055_352020_25.qgd,32249,1186050,-----,286682,15463889,622279,5163,56974,174058,116040,58751,2844946,330539,137899,8003,382600,23279,18498650,26472,97662,0,38343,9892820,37538,4736168,9497,56652,645728
PLCA_08F0608_0048_352020_26.qgd,416498,2812614,-----,161618,14016834,703337,11611,132721,69256,323851,251468,1195111,75182,131896,4279,85129,65341,14998356,36509,116343,0,104881,3629152,31078,10585755,113196,33568,165961
PLCA_10F0863_0109_352020_15.qgd,489968,3469243,-----,146901,15730402,351473,6568,57417,60636,83792,129235,688151,259375,116564,-----,335194,83218,15874142,364337,654679,0,121337,3893513,45444,10459767,205427,19693,26131
PLCA_11F0972_0110_352020_19.qgd,557636,3120846,-----,153060,16573249,99065,2195,12536,59534,15375,35212,892737,87450,70721,-----,43713,64899,15753277,-----,8192,0,125414,2824522,54011,11687739,200068,5725,-----
DEME_03F0184_0037_3102020_7.qgd,12781,4362705,19352,108757,9147573,184166,10392,208933,69127,30008,26159,1617828,3199746,39370,66316,1781116,232391,11809450,2811335,4458588,0,736928,7881512,378005,5797455,13197,-----,4510
DEME_04F0246_0038_3102020_27.qgd,19972,4663031,16232,191614,10580219,1154595,87707,818241,59565,1918987,1551827,1129371,2330726,36821,51116,1842692,190915,11636531,2939132,4798504,0,436054,5167375,396679,9490767,9294,-----,221353
DEME_09F0781_0065_3102020_24.qgd,15055,6351463,14784,141246,9450020,761729,17373,249552,106853,117046,414370,2900820,4513071,62079,99681,2942232,138133,10804419,3300749,3903226,0,1403136,6927601,355320,7185932,14292,-----,23249
DEME_11F1004_0066_3102020_10.qgd,7847,2827030,11055,69994,6842075,264175,10147,139421,51171,115041,126314,506634,2080780,35284,60146,1212843,163292,10009385,2078777,2820774,0,562980,5472648,292446,4201837,12773,-----,6872
DEME_13F1241_0083_3102020_22.qgd,7736,3426442,16526,91566,8039182,263429,10817,165502,38729,46557,90888,578564,2169252,30144,29315,1638673,98108,10774249,2875329,4187476,0,591515,4513621,609042,6290983,14028,1665,5401
DEME_14F1300_0084_3102020_12.qgd,15408,5155139,27538,137672,12290528,356091,10463,109585,95143,40764,65521,1539519,4290356,74722,164130,2229330,172936,12040808,2825798,3081474,0,1168405,8157290,388371,5181904,17191,-----,-----
IRCO_09F0736_0074_3102020_11.qgd,18284,206107,-----,18926,3246377,47048,-----,2527,7165,2641,5021,125943,120527,35108,494,47670,10721,11056321,7659,14030,0,4583,352805,-----,2300473,-----,2912,-----
