ProjID,SiteID,Type,FAvialNum,Date,IceCoverCat,Transect,Depth.m,genusSpecies,Genus,species,Replicate,Tissue,VialAmount,DissectedBy,LinkedTo,Comments,EnteredBy,kingdom,phylum,class,order,family,DESCRIPTION,LAT_DEG,LAT_MIN,LON_DEG,LON_MIN,LAT_DD,LON_DD,DATE,X,LAT_DD.1,LON_DD.1
01F011,01,FALSE,F011,2019.04.23,0.5,1,10,Diplasterias brucei,Diplasterias,brucei,2,tube foot section,nd,Lowe,01S014,,,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Small island south of Markham Island,65,56.695,66,1.489,-65.94491667,-66.02481667,4/23/2019,NA,-65.94491667,-66.02481667
01F012,01,FALSE,F012,2019.04.23,0.5,1,10,Diplasterias brucei,Diplasterias,brucei,3,tube foot section,nd,Lowe,01S013,,,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Small island south of Markham Island,65,56.695,66,1.489,-65.94491667,-66.02481667,4/23/2019,NA,-65.94491667,-66.02481667
01F0026,01,FALSE,0026,2019.04.23,0.5,1,10,Sterechinus neumayeri,Sterechinus,neumeyeri,1,gonad,nd,Lowe,01S028,,,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinidae,Small island south of Markham Island,65,56.695,66,1.489,-65.94491667,-66.02481667,4/23/2019,NA,-65.94491667,-66.02481667
01F0029,01,FALSE,0029,2019.04.23,0.5,1,30,Pycnogonid sp.,Pycnogonid,sp.,5,whole body,nd,Lowe,NA,,,NA,Arthropoda,NA,NA,NA,Small island south of Markham Island,65,56.695,66,1.489,-65.94491667,-66.02481667,4/23/2019,NA,-65.94491667,-66.02481667
01F0032,01,FALSE,0032,2019.04.23,0.5,1,10-30,Neosmilaster georgianus,Neosmilaster,georginus,1,tube foot section,nd,Lowe,01S010,,,Animalia,Echinodermata,Asteroidea,Forcipulatida,Stichasteridae,Small island south of Markham Island,65,56.695,66,1.489,-65.94491667,-66.02481667,4/23/2019,NA,-65.94491667,-66.02481667
01F0033,01,FALSE,0033,2019.04.23,0.5,1,10-30,Neosmilaster georgianus,Neosmilaster,georginus,2,tube foot section,nd,Lowe,01S011,,,Animalia,Echinodermata,Asteroidea,Forcipulatida,Stichasteridae,Small island south of Markham Island,65,56.695,66,1.489,-65.94491667,-66.02481667,4/23/2019,NA,-65.94491667,-66.02481667
01F0037,01,FALSE,0037,2019.04.23,0.5,1,10-30,Eusirus bouvieri,Eusirus,bouvieri,1,whole body (2),nd,Lowe,,,,Animalia,Arthropoda,Malacostraca,Amphipoda,Eusiridae,Small island south of Markham Island,65,56.695,66,1.489,-65.94491667,-66.02481667,4/23/2019,NA,-65.94491667,-66.02481667
01F0038,01,FALSE,0038,2019.04.23,0.5,1,10-30,Eusirus bouvieri,Eusirus,bouvieri,2,whole body (2),nd,Lowe,,,,Animalia,Arthropoda,Malacostraca,Amphipoda,Eusiridae,Small island south of Markham Island,65,56.695,66,1.489,-65.94491667,-66.02481667,4/23/2019,NA,-65.94491667,-66.02481667
01F0039,01,FALSE,0039,2019.04.23,0.5,1,10-30,Eusirus bouvieri,Eusirus,bouvieri,3,whole body (2),nd,Lowe,,,,Animalia,Arthropoda,Malacostraca,Amphipoda,Eusiridae,Small island south of Markham Island,65,56.695,66,1.489,-65.94491667,-66.02481667,4/23/2019,NA,-65.94491667,-66.02481667
01F0020,01,FALSE,0020,2019.04.23,0.5,1,5,Sterechinus neumayeri,Sterechinus,neumeyeri,3,gonad,nd,Lowe,01S044,,,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinidae,Small island south of Markham Island,65,56.695,66,1.489,-65.94491667,-66.02481667,4/23/2019,NA,-65.94491667,-66.02481667
01F0019,01,FALSE,0019,2019.04.23,0.5,1,5,Sterechinus neumayeri,Sterechinus,neumeyeri,2,gonad,nd,Lowe,01S012,,,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinidae,Small island south of Markham Island,65,56.695,66,1.489,-65.94491667,-66.02481667,4/23/2019,NA,-65.94491667,-66.02481667
01F0043,01,FALSE,0043,2019.04.23,0.5,1,5,Sterechinus neumayeri,Sterechinus,neumeyeri,4,gonad,nd,Lowe,NA,,,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinidae,Small island south of Markham Island,65,56.695,66,1.489,-65.94491667,-66.02481667,4/23/2019,NA,-65.94491667,-66.02481667
01F0044,01,FALSE,0044,2019.04.23,0.5,1,5,Sterechinus neumayeri,Sterechinus,neumeyeri,5,gonad,nd,Lowe,NA,,,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinidae,Small island south of Markham Island,65,56.695,66,1.489,-65.94491667,-66.02481667,4/23/2019,NA,-65.94491667,-66.02481667
01F0049,01,FALSE,0049,2019.04.23,0.5,1,5,Glyptonotus antarcticus,Glyptonotus,antarcticus,1,2 leg,nd,Lowe,01-S-045,,,Animalia,Arthropoda,Malacostraca,Isopoda,Chaetiliidae,Small island south of Markham Island,65,56.695,66,1.489,-65.94491667,-66.02481667,4/23/2019,NA,-65.94491667,-66.02481667
01F0050,01,FALSE,0050,2019.04.23,0.5,1,10-35m,Cnemidocarpa sp.,Cnemidocarpa,sp.,1,"pharyngeal basket, same as isotopes",nd,Lowe,01-S-030,,,NA,Chordata,NA,NA,NA,Small island south of Markham Island,65,56.695,66,1.489,-65.94491667,-66.02481667,4/23/2019,NA,-65.94491667,-66.02481667
01F0051,01,FALSE,0051,2019.04.23,0.5,1,10-35m,Cnemidocarpa sp.,Cnemidocarpa,sp.,2,"pharyngeal basket, same as isotopes",nd,Lowe,01-S-029,,,NA,Chordata,NA,NA,NA,Small island south of Markham Island,65,56.695,66,1.489,-65.94491667,-66.02481667,4/23/2019,NA,-65.94491667,-66.02481667
01F0055,01,FALSE,0055,2019.04.23,0.5,1,10-35m,Terebellidae sp.,Terebellidae,sp.,1,body wall,nd,Lowe,01-S-026,,,NA,Annelida,NA,NA,NA,Small island south of Markham Island,65,56.695,66,1.489,-65.94491667,-66.02481667,4/23/2019,NA,-65.94491667,-66.02481667
01F0056,01,FALSE,0056,2019.04.23,0.5,1,10-35m,Terebellidae sp.,Terebellidae,sp.,2,body wall,nd,Lowe,01-S-025,,,NA,Annelida,NA,NA,NA,Small island south of Markham Island,65,56.695,66,1.489,-65.94491667,-66.02481667,4/23/2019,NA,-65.94491667,-66.02481667
01F0057,01,FALSE,0057,2019.04.23,0.5,1,10-35m,Terebellidae sp.,Terebellidae,sp.,3,body wall,nd,Lowe,01-S-024,,,NA,Annelida,NA,NA,NA,Small island south of Markham Island,65,56.695,66,1.489,-65.94491667,-66.02481667,4/23/2019,NA,-65.94491667,-66.02481667
01F0061,01,FALSE,0061,2019.04.27,0.8,NA,5-35m,Nematoflustra sp.,Nematoflustra,sp.,1,whole,1ml,Lowe,01-S-018,,,NA,Bryozoa,NA,NA,NA,Small island south of Markham Island,65,56.695,66,1.489,-65.94491667,-66.02481667,4/23/2019,NA,-65.94491667,-66.02481667
01F0062,01,FALSE,0062,2019.04.27,0.8,NA,5-35m,Isotealia antarctica,Isotaelia,antarctica,1,tentacle,1ml,Lowe,01-S-021,,,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Small island south of Markham Island,65,56.695,66,1.489,-65.94491667,-66.02481667,4/23/2019,NA,-65.94491667,-66.02481667
01F0063,01,FALSE,0063,2019.04.27,0.8,NA,5-35m,Isotealia antarctica,Isotaelia,antarctica,2,tentacle,1ml,Lowe,01-S-022,,,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Small island south of Markham Island,65,56.695,66,1.489,-65.94491667,-66.02481667,4/23/2019,NA,-65.94491667,-66.02481667
01F0083,01,FALSE,0083,2019.04.27,0.8,NA,,Nematoflustra sp.,Nematoflustra,sp.,2,whole,1ml,Lowe,NA,,,NA,Bryozoa,NA,NA,NA,Small island south of Markham Island,65,56.695,66,1.489,-65.94491667,-66.02481667,4/23/2019,NA,-65.94491667,-66.02481667
02F0067,02,FALSE,0067,2019.04.27,0.8,NA,~8m,Isotealia antarctica,Isotaelia,antarctica,1,tentacle,1ml,Lowe,02-S-003,,,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Small island between Pourqoui Pas and Blaiklock Islands,67,33.4,67,14.833,-67.55666667,-67.24721667,4/27/2019,NA,-67.55666667,-67.24721667
02F0068,02,FALSE,0068,2019.04.27,0.8,NA,~8m,Isotealia antarctica,Isotaelia,antarctica,2,tentacle,1ml,Lowe,02-S-004,,,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Small island between Pourqoui Pas and Blaiklock Islands,67,33.4,67,14.833,-67.55666667,-67.24721667,4/27/2019,NA,-67.55666667,-67.24721667
02F0069,02,FALSE,0069,2019.04.27,0.8,NA,~8m,Odontaster validus,Odontaster,validus,1,tube foot section,1ml,Lowe,02-S-005,,,Animalia,Echinodermata,Asteroidea,Valvatida,Odontasteridae,Small island between Pourqoui Pas and Blaiklock Islands,67,33.4,67,14.833,-67.55666667,-67.24721667,4/27/2019,NA,-67.55666667,-67.24721667
02F0070,02,FALSE,0070,2019.04.27,0.8,NA,~8m,Odontaster validus,Odontaster,validus,2,tube foot section,1ml,Lowe,02-S-006,,,Animalia,Echinodermata,Asteroidea,Valvatida,Odontasteridae,Small island between Pourqoui Pas and Blaiklock Islands,67,33.4,67,14.833,-67.55666667,-67.24721667,4/27/2019,NA,-67.55666667,-67.24721667
02F0071,02,FALSE,0071,2019.04.27,0.8,NA,~8m,Odontaster validus,Odontaster,validus,3,tube foot section,1ml,Lowe,02-S-007,,,Animalia,Echinodermata,Asteroidea,Valvatida,Odontasteridae,Small island between Pourqoui Pas and Blaiklock Islands,67,33.4,67,14.833,-67.55666667,-67.24721667,4/27/2019,NA,-67.55666667,-67.24721667
02F0072,02,FALSE,0072,2019.04.27,0.8,NA,~8m,Nacella concinna,Nacella,concinna,1,"foot, mantle",1ml,Lowe,02-S-008,,,Animalia,Mollusca,Gastropoda,NA,Nacellidae,Small island between Pourqoui Pas and Blaiklock Islands,67,33.4,67,14.833,-67.55666667,-67.24721667,4/27/2019,NA,-67.55666667,-67.24721667
02F0073,02,FALSE,0073,2019.04.27,0.8,NA,~8m,Nacella concinna,Nacella,concinna,2,"foot, mantle",1ml,Lowe,02-S-009,,,Animalia,Mollusca,Gastropoda,NA,Nacellidae,Small island between Pourqoui Pas and Blaiklock Islands,67,33.4,67,14.833,-67.55666667,-67.24721667,4/27/2019,NA,-67.55666667,-67.24721667
02F0074,02,FALSE,0074,2019.04.27,0.8,NA,~8m,Nacella concinna,Nacella,concinna,3,"foot, mantle",1ml,Lowe,02-S-010,,,Animalia,Mollusca,Gastropoda,NA,Nacellidae,Small island between Pourqoui Pas and Blaiklock Islands,67,33.4,67,14.833,-67.55666667,-67.24721667,4/27/2019,NA,-67.55666667,-67.24721667
