sample,batch,FA,proportion
CAAT_14F1385_0200,batch_6,20:5w3,0.0970266439620275
CAAT_14F1385_0200,batch_6,21:0,0
CAAT_14F1385_0200,batch_6,22:0,0
CAAT_14F1385_0200,batch_6,22:1w9c,0.000489441323123044
CAAT_14F1385_0200,batch_6,22:1w7c,0
CAAT_14F1385_0200,batch_6,22:2w6,0
CAAT_14F1385_0200,batch_6,21:5w3,0
CAAT_14F1385_0200,batch_6,23:0,0
CAAT_14F1385_0200,batch_6,22:4w6,0.000379317025420359
CAAT_14F1385_0200,batch_6,22:5w6,0
CAAT_14F1385_0200,batch_6,22:3w6,0
CAAT_14F1385_0200,batch_6,22:6w4,0
CAAT_14F1385_0200,batch_6,22:5w3,0
CAAT_14F1385_0200,batch_6,22:6w3,0.000388494050228916
CAAT_14F1385_0200,batch_6,24:0,0
CAAT_14F1385_0200,batch_6,24:1,0
CAAT_14F1385_0200,batch_6,24:1w9,0
CAAT_14F1385_0200,batch_6,24:1w7,0
CAAT_14F1385_0200,batch_6,26:0,0.00E+00
CAAT_14F1385_0200,batch_6,26:4w2,0.00E+00
CAAT_14F1385_0200,batch_6,27:0,0.00E+00
CAAT_14F1385_0200,batch_6,28:0,0.00E+00
CAAT_14F1385_0200,batch_6,29:0,0
RHLA_11F1031_0198,batch_6,8:0,0.000134479009107431
RHLA_11F1031_0198,batch_6,9:0,0.00138577417004038
RHLA_11F1031_0198,batch_6,10:0,0.000101179444947496
RHLA_11F1031_0198,batch_6,11:0,0.000121671484430533
RHLA_11F1031_0198,batch_6,11:1,0.000198516632491922
RHLA_11F1031_0198,batch_6,12:0,0.000375260473033116
RHLA_11F1031_0198,batch_6,13:0,7.81259005290788E-05
RHLA_11F1031_0198,batch_6,13:1,0
RHLA_11F1031_0198,batch_6,i-14:0,0
RHLA_11F1031_0198,batch_6,14:0,0.0144840296571041
RHLA_11F1031_0198,batch_6,14:1,0
RHLA_11F1031_0198,batch_6,14:1w5,0
RHLA_11F1031_0198,batch_6,i-15:0,0
RHLA_11F1031_0198,batch_6,a-15:0,0
RHLA_11F1031_0198,batch_6,15:0,0.0022887046597617
RHLA_11F1031_0198,batch_6,15:1w7,0
RHLA_11F1031_0198,batch_6,15:1w5,0
RHLA_11F1031_0198,batch_6,i-16:0,0
RHLA_11F1031_0198,batch_6,16:0,0.20907899809296
RHLA_11F1031_0198,batch_6,16:1w13,0
RHLA_11F1031_0198,batch_6,16:1w9,0
RHLA_11F1031_0198,batch_6,16:1w7t,0
RHLA_11F1031_0198,batch_6,16:1w8c,0
RHLA_11F1031_0198,batch_6,16:1w7c,0.0117112005645557
RHLA_11F1031_0198,batch_6,16:1w6c,0
RHLA_11F1031_0198,batch_6,16:1w5t,0
RHLA_11F1031_0198,batch_6,16:1w5c,0
RHLA_11F1031_0198,batch_6,16:2w6,0
RHLA_11F1031_0198,batch_6,14:4w3,0
RHLA_11F1031_0198,batch_6,i-17:0,0
RHLA_11F1031_0198,batch_6,a-17:0,0
RHLA_11F1031_0198,batch_6,16:2w5,0
RHLA_11F1031_0198,batch_6,16:2w4,0
RHLA_11F1031_0198,batch_6,17:0,0.000931107044010497
RHLA_11F1031_0198,batch_6,16:3w4,0
RHLA_11F1031_0198,batch_6,16:3w3,0
RHLA_11F1031_0198,batch_6,17:1w9c,0
RHLA_11F1031_0198,batch_6,17:1w7c,0
RHLA_11F1031_0198,batch_6,16:4w3,0
RHLA_11F1031_0198,batch_6,16:4w1,0
RHLA_11F1031_0198,batch_6,17:2,0
